time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,phase,total_num_schools,total_enrolments
2024,January,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,State-funded nursery,1,140
2024,January,Local authority,E92000001,England,E12000007,London,E09000021,314,Kingston upon Thames,PRU/Academy/Free school AP,1,95
2024,January,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000019,373,Sheffield,State-funded nursery,2,203
2024,January,Local authority,E92000001,England,E12000007,London,E09000005,304,Brent,State-funded nursery,4,380
2024,January,Local authority,E92000001,England,E12000002,North West,E08000011,340,Knowsley,PRU/Academy/Free school AP,1,50
2024,January,Local authority,E92000001,England,E12000007,London,E09000027,318,Richmond upon Thames,State-funded nursery,1,90
2024,January,Local authority,E92000001,England,E12000001,North East,E08000022,392,North Tyneside,PRU/Academy/Free school AP,1,167
2024,January,Local authority,E92000001,England,E12000007,London,E09000020,207,Kensington and Chelsea,State-funded nursery,3,156
2024,January,Local authority,E92000001,England,E12000006,East of England,E06000031,874,Peterborough,State-funded nursery,1,136
2024,January,Local authority,E92000001,England,E12000002,North West,E08000003,352,Manchester,State-funded nursery,2,114
2024,January,Local authority,E92000001,England,E12000008,South East,E06000040,868,Windsor and Maidenhead,State-funded nursery,3,269
2024,January,Local authority,E92000001,England,E12000007,London,E09000023,209,Lewisham,State-funded nursery,2,213
2024,January,Local authority,E92000001,England,E12000005,West Midlands,E08000026,331,Coventry,State-funded nursery,1,153
2024,January,Local authority,E92000001,England,E12000008,South East,E06000039,871,Slough,State-funded nursery,5,526
2024,January,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,State-funded nursery,1,147
2024,January,Local authority,E92000001,England,E12000007,London,E09000029,319,Sutton,State-funded nursery,2,180
2024,January,Local authority,E92000001,England,E12000002,North West,E08000015,344,Wirral,State-funded nursery,3,279
2024,January,Local authority,E92000001,England,E12000001,North East,E08000021,391,Newcastle upon Tyne,State-funded nursery,3,323
2024,January,Local authority,E92000001,England,E12000007,London,E09000001,201,City of London,Independent school,5,2671
2024,January,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,PRU/Academy/Free school AP,2,69
2024,January,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,Special,7,940
2024,January,Local authority,E92000001,England,E12000008,South East,E06000041,872,Wokingham,State-funded nursery,1,122
2024,January,Local authority,E92000001,England,E12000007,London,E09000011,203,Greenwich,State-funded nursery,4,609
2024,January,Local authority,E92000001,England,E12000007,London,E09000025,316,Newham,State-funded nursery,7,1072
2024,January,Local authority,E92000001,England,E12000007,London,E09000028,210,Southwark,State-funded nursery,5,537
2024,January,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000033,381,Calderdale,Special,4,538
2024,January,Local authority,E92000001,England,E12000008,South East,E06000037,869,West Berkshire,Special,3,615
2024,January,Local authority,E92000001,England,E12000007,London,E09000030,211,Tower Hamlets,State-funded nursery,4,344
2024,January,Local authority,E92000001,England,E12000002,North West,E06000064,943,Westmorland and Furness,PRU/Academy/Free school AP,1,44
2024,January,Local authority,E92000001,England,E12000007,London,E09000012,204,Hackney,State-funded nursery,2,212
2024,January,Local authority,E92000001,England,E12000002,North West,E08000007,356,Stockport,State-funded nursery,4,380
2024,January,Local authority,E92000001,England,E12000007,London,E09000014,309,Haringey,State-funded nursery,3,459
2024,January,Local authority,E92000001,England,E12000006,East of England,E06000055,822,Bedford,State-funded nursery,2,278
2024,January,Local authority,E92000001,England,E12000002,North West,E08000014,343,Sefton,State-funded nursery,3,234
2024,January,Local authority,E92000001,England,E12000007,London,E09000024,315,Merton,Special,3,498
2024,January,Local authority,E92000001,England,E12000002,North West,E06000007,877,Warrington,State-funded nursery,1,104
2024,January,Local authority,E92000001,England,E12000007,London,E09000007,202,Camden,Special,5,421
2024,January,Local authority,E92000001,England,E12000005,West Midlands,E08000030,335,Walsall,State-funded nursery,8,1072
2024,January,Local authority,E92000001,England,E12000002,North West,E06000063,942,Cumberland,PRU/Academy/Free school AP,2,68
2024,January,Local authority,E92000001,England,E12000002,North West,E08000005,354,Rochdale,State-funded nursery,2,145
2024,January,Local authority,E92000001,England,E12000008,South East,E06000060,825,Buckinghamshire,State-funded nursery,2,249
2024,January,Local authority,E92000001,England,E12000002,North West,E06000006,876,Halton,State-funded nursery,3,201
2024,January,Regional,E92000001,England,E12000009,South West,,,,PRU/Academy/Free school AP,33,1243
2024,January,Regional,E92000001,England,E12000004,East Midlands,,,,State-funded nursery,32,2603
2024,January,Regional,E92000001,England,E12000005,West Midlands,,,,Secondary,428,400447
2024,January,Regional,E92000001,England,E12000009,South West,,,,Special,97,12412
2024,January,Regional,E92000001,England,E12000006,East of England,,,,Independent school,234,68212
2024,January,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Secondary,333,351554
2024,January,Regional,E92000001,England,E12000008,South East,,,,Independent school,534,153408
2024,January,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,PRU/Academy/Free school AP,35,1334
2024,January,Regional,E92000001,England,E12000004,East Midlands,,,,Special,85,11383
2024,January,Regional,E92000001,England,E12000002,North West,,,,PRU/Academy/Free school AP,49,2605
2024,January,Regional,E92000001,England,E12000007,London,,,,Independent school,525,148541
2024,January,Regional,E92000001,England,E12000004,East Midlands,,,,PRU/Academy/Free school AP,22,938
2024,January,Regional,E92000001,England,E12000004,East Midlands,,,,Independent school,162,29894
2024,January,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Independent school,140,29689
2024,January,Regional,E92000001,England,E12000002,North West,,,,Special,173,23194
2024,January,Regional,E92000001,England,E12000008,South East,,,,Primary,2596,716321
2024,January,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Primary,1763,465411
2024,January,Regional,E92000001,England,E12000009,South West,,,,Independent school,219,54033
2024,January,Regional,E92000001,England,E12000004,East Midlands,,,,Secondary,297,305753
2024,January,Regional,E92000001,England,E12000007,London,,,,Special,163,21398
2024,January,Regional,E92000001,England,E12000001,North East,,,,Secondary,173,158818
2024,January,Regional,E92000001,England,E12000006,East of England,,,,Primary,1983,514279
2024,January,Regional,E92000001,England,E12000008,South East,,,,Special,185,26338
2024,January,Regional,E92000001,England,E12000006,East of England,,,,Special,116,15329
2024,January,Regional,E92000001,England,E12000009,South West,,,,Primary,1881,403076
2024,January,Regional,E92000001,England,E12000006,East of England,,,,PRU/Academy/Free school AP,37,1082
2024,January,Regional,E92000001,England,E12000001,North East,,,,Primary,861,210627
2024,January,Regional,E92000001,England,E12000009,South West,,,,Secondary,342,333618
2024,January,Regional,E92000001,England,E12000005,West Midlands,,,,Primary,1767,505609
2024,January,Regional,E92000001,England,E12000002,North West,,,,Secondary,473,451703
2024,January,Regional,E92000001,England,E12000008,South East,,,,Secondary,521,568528
2024,January,Regional,E92000001,England,E12000006,East of England,,,,Secondary,394,411491
2024,January,Regional,E92000001,England,E12000008,South East,,,,PRU/Academy/Free school AP,44,1105
2024,January,Regional,E92000001,England,E12000005,West Midlands,,,,Special,127,18232
2024,January,Regional,E92000001,England,E12000001,North East,,,,PRU/Academy/Free school AP,18,1005
2024,January,Regional,E92000001,England,E12000005,West Midlands,,,,Independent school,258,43067
2024,January,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Special,88,12028
2024,January,Regional,E92000001,England,E12000002,North West,,,,Primary,2431,629679
2024,January,Regional,E92000001,England,E12000007,London,,,,Secondary,518,571297
2024,January,Regional,E92000001,England,E12000002,North West,,,,Independent school,294,50402
2024,January,Regional,E92000001,England,E12000004,East Midlands,,,,Primary,1644,393974
2024,January,Regional,E92000001,England,E12000007,London,,,,Primary,1781,693854
2024,January,Regional,E92000001,England,E12000001,North East,,,,Special,65,9475
2024,January,Regional,E92000001,England,E12000001,North East,,,,Independent school,58,10888
2024,January,Regional,E92000001,England,E12000005,West Midlands,,,,PRU/Academy/Free school AP,40,1193
2024,January,Regional,E92000001,England,E12000007,London,,,,PRU/Academy/Free school AP,54,2141
2024,January,Regional,E92000001,England,E12000009,South West,,,,State-funded nursery,18,2093
2024,January,Regional,E92000001,England,E12000005,West Midlands,,,,State-funded nursery,56,5860
2024,January,Regional,E92000001,England,E12000001,North East,,,,State-funded nursery,29,2505
2024,January,Regional,E92000001,England,E12000006,East of England,,,,State-funded nursery,38,4213
2024,January,Regional,E92000001,England,E12000008,South East,,,,State-funded nursery,42,4067
2024,January,Regional,E92000001,England,E12000002,North West,,,,State-funded nursery,63,5478
2024,January,Regional,E92000001,England,E12000007,London,,,,State-funded nursery,76,7878
2024,January,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,State-funded nursery,27,2684
2024,January,National,E92000001,England,,,,,,Secondary,3479,3553209
2024,January,National,E92000001,England,,,,,,Independent school,2424,588134
2024,January,National,E92000001,England,,,,,,Special,1099,149789
2024,January,National,E92000001,England,,,,,,State-funded nursery,381,37381
2024,January,National,E92000001,England,,,,,,PRU/Academy/Free school AP,332,12646
2024,January,National,E92000001,England,,,,,,Primary,16707,4532830
