"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","education_phase","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000004","East Midlands","E10000007","Derbyshire","830","Primary",345.628571428571,"48252.9571428571","6290555","6340220","49665","324214","255536","68678","57709","6664434","3102235","3140645","6242880","47675","196886","16952","157","0","963","22","2208","26521","134","15","11678","3237","0","4239","41620","5","564","30463","10034","26046","2135","353","58643","95.1351607653403","4.86483923465969","3.83432411514616","1.03051511951352","2.9542793881671","0.254365186901093","0.457098082147711","0.390820885914693","0.150560422685557","0.0320357287655636","0.0023557889537206","0","0.0144498392511652","0.0331310956039178","0.00201067337451312","0.000225075377744006","0.175228684086301","0.397948272876586","13.8184594366537"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000005","West Midlands","E06000019","Herefordshire, County of","884","Primary",77.5142857142857,"11023.1285714286","1439761","1451333","11572","72409","61764","10645","15132","1523742","708491","717556","1426047","13714","47509","4858","51","0","362","0","401","7509","12","38","1024","1683","0","2393","7224","0","272","4371","1418","4570","286","77","12087","95.2479487997312","4.75205120026881","4.05344211815386","0.698609082114951","3.1179162876655","0.318820377727988","0.286859586465425","0.299919540184624","0.0930603737378113","0.0187695817270903","0.00334702331497064","0","0.0237573027454779","0.0263167911628084","0.000787534897640152","0.00249386050919381","0.0672029779319596","0.492799962198325","13.3830978405758"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000001","North East","E06000005","Darlington","841","Primary",28.8857142857143,"7024.88571428571","904674","910893","6219","52530","37871","14659","9458","963423","445268","451446","896714","7960","28532","2584","4","0","3050","0","528","2831","45","12","285","411","0","1224","4300","0","284","7321","1498","5360","480","29","8365","94.5475663337911","5.45243366620892","3.93087979008182","1.5215538761271","2.96152365056678","0.268210329211572","0.759894667243776","0.556349599293353","0.155487257414448","0.0498223521755241","0.000415186268129368","0","0.316579529448643","0.0548045873930766","0.00467084551645539","0.0012455588043881","0.0295820216042175","0.29384808126856","17.6578354002255"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000001","North East","E08000024","Sunderland","394","Primary",80.7428571428571,"18276.5285714286","2291645","2308573","16928","125387","88625","36762","24545","2433960","1125267","1143775","2269042","22603","75080","6139","117","2","388","1","585","5009","527","21","756","1327","0","395","14887","0","319","19179","1942","14282","1359","81","22893","94.848436293119","5.15156370688097","3.64118555769199","1.51037814918898","3.08468504001709","0.252222715245937","0.787975151604792","0.586780390803464","0.0797876711203142","0.0558349356604053","0.00480698121579648","8.21706190734441e-05","0.0159411001002482","0.0240349060789824","0.0216519581258525","0.000862791500271163","0.0310604940097619","0.205796315469441","17.6872638364081"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000018","Rotherham","372","Primary",94.4428571428571,"19208.7","2474150","2495751","21601","143723","89697","54026","32323","2639474","1212973","1232882","2445855","28295","72950","6661","59","4","164","0","655","4976","24","28","4176","2022","0","1898","17663","2","16","24152","4028","24762","1084","95","23888","94.5548620672149","5.44513793278509","3.39829072004498","2.04684721274011","2.76380824361217","0.252360887055527","0.915030797802896","0.938141463033923","0.152606163197667","0.0410687887056285","0.0022352938502141","0.000151545345777227","0.0062133591768663","0.0248155503710209","0.000909272074663361","0.00106081742044059","0.158213340991425","0.18852241014687","17.6634566649772"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E08000009","Trafford","358","Primary",62.9142857142857,"19314.3142857143","2415312","2427124","11812","103646","81761","21885","27874","2530770","1183107","1206739","2389846","25466","66679","6579","313","71","17","0","316","6303","170","655","658","4551","0","1376","5839","1","45","11312","2408","6834","1331","62","22353","95.9045665943567","4.09543340564334","3.23067682958151","0.864756576061831","2.63473172196604","0.259960407306867","0.446978587544502","0.270036392086203","0.0951489072495723","0.0525926891815534","0.0123677773958123","0.00280547027189353","0.000671732318622396","0.0124863183932163","0.00671732318622396","0.0258814510998629","0.0259999920972668","0.249054635545703","11.7124394184168"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000008","South East","E06000046","Isle of Wight","921","Primary",36.9692307692308,"7330.83076923077","865474","870570","5096","54915","41654","13261","11289","925485","424498","431980","856478","8996","33921","2494","29","0","0","0","375","2461","1","14","2359","406","0","263","4388","0","39","5427","2293","4756","785","37","8535","94.0663543979643","5.93364560203569","4.50077526918319","1.4328703328525","3.66521337460899","0.269480326531494","0.586395241413961","0.513892715711222","0.247761984256903","0.0848203914704182","0.00313349216897086","0","0","0.0405192952884163","0.000108051454102444","0.00151272035743421","0.254893380227664","0.265914628546114","19.1665535496131"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E08000015","Wirral","344","Primary",89.5571428571429,"21040.4428571429","2699139","2715212","16073","155922","113148","42774","37105","2871134","1318384","1348515","2666899","32240","92655","7719","62","29","8","0","726","8443","370","621","2515","4144","4","979","10917","0","29","18476","4865","18177","1256","89","25152","94.5693234798515","5.43067652014849","3.94088189544619","1.4897946247023","3.2271221057603","0.268848475898373","0.643508801748717","0.633094798083266","0.16944524358668","0.0437457812836322","0.00215942550922388","0.00101005386721762","0.000278635549577275","0.0252861761241377","0.012886894167949","0.021629084535936","0.0875960508983558","0.294064993135117","17.248918674842"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E08000008","Tameside","357","Primary",75.7857142857143,"17762.3142857143","2263514","2269330","5816","114213","75886","38327","33833","2383543","1102258","1131918","2234176","29338","62528","5705","35","10","30","0","860","4936","128","63","1591","672","1","174","4940","0","29","15741","4495","17089","1002","72","18083","95.2082676922548","4.79173230774524","3.18374789126943","1.60798441647581","2.62332166862524","0.239349573303272","0.660403441431516","0.716957906779949","0.188584808413358","0.0420382598509865","0.00146840229020412","0.000419543511486892","0.00125863053446067","0.0360807419878727","0.00537015694703221","0.00264312412236742","0.0667493726775645","0.20708667726993","14.745308310992"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000027","Richmond upon Thames","318","Primary",44.6,"13360.6285714286","1738850","1758811","19961","80132","60496","19636","20808","1838943","851561","868184","1719745","19105","46842","5134","93","10","0","0","96","4579","45","2957","740","2309","8","3386","14075","0","183","6567","1703","10893","473","45","15952","95.6424968038705","4.35750319612952","3.28971588570173","1.06778731042778","2.54722413908425","0.279182117118366","0.357107316539991","0.592351149546234","0.0926075468353288","0.0257212975062305","0.00505725299805377","0.000543790644952019","0","0.00522039019153938","0.00244705790228408","0.160798893712312","0.0402405077264494","0.249001736323529","11.8366745283019"
