"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","education_phase","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_mobile_child","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_c1_authorised_regulated_performance","reason_j1_authorised_interview","reason_c2_authorised_temp_reduced_timetable","reason_b_aea_education_off_site","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_k_aea_education_arranged_by_la","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_mob_perc","auth_excluded_perc","auth_performance_perc","auth_interview_perc","auth_part_time_perc","auth_other_perc","pa_perc"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000005","West Midlands","E08000031","Wolverhampton","336","Primary",70.2285714285714,"22082.4285714286","2723385","2737276","13891","161567","105003","56564","47002","2898843","1319864","1358403","2678267","45118","83321","4720","233","22","4","2","1189","12553","24","78","2857","1680","0","454","11747","0","10","17488","1884","35723","1469","72","25912","94.4265005038217","5.5734994961783","3.6222382516059","1.9512612445724","2.87428467150515","0.162823581684141","0.603275168748359","1.23231923908953","0.0649914465874833","0.0506753901470345","0.00803768951957729","0.000758923473951504","0.000137986086173001","0.0410163641149245","0.000827916517038004","0.00269072868037351","0.0985565620490658","0.43303483493242","18.0692051012479"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000003","Barnet","302","Primary",86.5571428571429,"22997.7428571429","3021261","3043782","22521","154947","125470","29477","44642","3198729","1475326","1505014","2980340","40921","93256","10152","1340","2","5","28","375","15013","242","1906","3151","1345","3","1745","18890","4","534","5206","3721","19460","1090","90","29043","95.1559822667066","4.84401773329344","3.92249546616797","0.921522267125474","2.91540796360054","0.317376057802959","0.162752143116844","0.608366635623087","0.11632745381056","0.0340760345749827","0.0418916388352999","6.25248340825372e-05","0.000156312085206343","0.0117234063904757","0.007565504923987","0.0595861668806579","0.0985078760970373","0.469342667040565","14.1621092155742"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000008","South East","E06000039","Slough","871","Primary",27.7857142857143,"13975.6571428571","1757491","1766608","9117","103406","80705","22701","21239","1870014","861043","876503","1737546","19945","63724","3529","189","66","26","0","176","10181","23","1890","901","960","0","748","7409","0","0","11221","1294","9379","807","28","16849","94.4703087784369","5.52969122156305","4.31574309069344","1.21394813086961","3.40767502275384","0.188715164699302","0.600048983590497","0.501547047241358","0.0691973429075932","0.0431547571301605","0.0101068762052049","0.00352938534150012","0.00139036392240914","0.00941169424400031","0.00122993731597731","0.101068762052049","0.0481814574650243","0.544434426694132","18.0765497157121"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000015","Harrow","310","Primary",39.3,"18106.2571428571","2298690","2315684","16994","115662","91028","24634","27371","2431346","1128139","1144452","2272591","26099","72694","5498","207","5","70","0","197","8849","85","1327","2096","1637","4","877","14407","0","69","7741","1272","12454","3167","40","21863","95.2428819263075","4.75711807369251","3.74393442973563","1.01318364395689","2.98986651838118","0.226129888547331","0.318383315250071","0.512226560925512","0.0523167002968726","0.13025706748443","0.00851380264265144","0.000205647406827329","0.00287906369558261","0.00810250782899678","0.0034960059160646","0.0545788217719732","0.0862073929420165","0.363954780603008","14.9340906655235"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000009","South West","E10000008","Devon","878","Primary",303.357142857143,"45583.1285714286","5852799","5909384","56585","312013","253336","58677","50678","6221397","2894433","2916440","5810873","41926","197053","17076","180","8","861","22","2213","23313","85","363","12162","7125","0","7438","41395","1","626","23220","8752","24342","2363","308","52960","94.9848402215772","5.01515977842276","4.07201147909384","0.943148299328913","3.16734328318865","0.274472116150119","0.373228070801461","0.391262605488767","0.140675799985116","0.0379818230535682","0.00289324085892606","0.000128588482618936","0.013839335441863","0.0355707890044631","0.00136625262782619","0.00583470239883422","0.195486640701437","0.374722911911907","14.0803976658742"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000009","South West","E06000066","Somerset","933","Primary",218.8,"32545.5571428571","4166083","4196814","30731","241971","183614","58357","48606","4438785","2047682","2080056","4127738","38345","145118","11920","129","4","477","2","1838","16530","72","236","7288","4922","0","3624","21832","2","351","22167","10261","23852","2077","216","36630","94.5487109648248","5.45128903517517","4.13658242063988","1.31470661453528","3.26931806789471","0.268541954611453","0.49939341508994","0.537354253472516","0.23116686210303","0.0467920838697977","0.00290620068329509","9.01147498696152e-05","0.0107461839219516","0.0414077275650882","0.00162206549765307","0.0053167702423073","0.164189074262439","0.372399203836185","16.4701603370412"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000033","Calderdale","381","Primary",81.2142857142857,"15046.5285714286","1887090","1899536","12446","99546","74736","24810","22389","1999082","924904","942605","1867509","19581","61616","4193","112","5","0","0","844","6170","104","5","1687","1708","0","1226","9407","1","104","12960","2808","8505","537","82","18054","95.0204143701959","4.97958562980408","3.73851597883429","1.2410696509698","3.08221473656408","0.209746273539555","0.64829756858398","0.425445279383237","0.140464473193196","0.0268623298093825","0.00560257158035538","0.000250114802694437","0","0.0422193786948209","0.00520238789604428","0.000250114802694437","0.084388734429103","0.308641666524935","15.4058048911583"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000002","Barking and Dagenham","301","Primary",42.4857142857143,"19129.5","2491757","2505359","13602","135395","94372","41023","43381","2640754","1207751","1243732","2451483","40274","76891","5763","221","2","0","8","360","9803","403","537","384","2395","1","976","10064","0","166","13522","3107","23527","867","44","24411","94.8728658557366","5.12713414426334","3.57367630608531","1.55345783817804","2.91170627782823","0.218233125842089","0.512050724906599","0.890919790332609","0.117655790732495","0.032831532206332","0.00836882193494737","7.57359451126459e-05","0","0.0136324701202763","0.0152607929401981","0.0203351012627454","0.014541301461628","0.371219734969634","17.3415536374846"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000006","Bromley","305","Primary",75.6923076923077,"23528.4307692308","2832190","2855560","23370","149347","112655","36692","41896","3004907","1381180","1413288","2794468","37722","89423","8240","145","149","302","0","427","9403","279","2522","1765","2179","1","2564","18102","9","515","12210","4174","18123","2185","76","27675","95.0298960999459","4.97010390005414","3.74903449590952","1.22106940414462","2.97589908772551","0.274218137200253","0.40633537077853","0.603113507339828","0.138906129207992","0.0727143968182709","0.00482544052112095","0.0049585561217036","0.0100502278439898","0.0142100903621976","0.00928481314063963","0.0839293861673589","0.058737258757093","0.312921498069657","14.6993224761183"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000006","East of England","E06000033","Southend-on-Sea","882","Primary",32.7428571428571,"12914.9857142857","1657737","1670215","12478","94622","71274","23348","21296","1764837","811520","827476","1638996","18741","58592","3751","114","14","2","0","641","5989","90","82","1999","509","0","3636","8209","0","124","7874","2555","12522","397","33","15519","94.6384850272292","5.36151497277086","4.03855993499683","1.32295503777403","3.31996665981051","0.212540874879663","0.44616018363169","0.709527282122938","0.144772576730882","0.0224949952885167","0.00645952005765972","0.00079327439304593","0.000113324913292276","0.0363206347101744","0.00509962109815241","0.0046463214449833","0.11326825083563","0.33935145285372","17.7443722616709"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000001","North East","E06000004","Stockton-on-Tees","808","Primary",59.2857142857143,"14083.3","1839733","1855835","16102","98329","68328","30001","21800","1954164","904639","916395","1821034","18699","57086","4597","40","0","52","0","756","4536","102","6","1153","498","0","3907","11589","2","106","14005","3101","12477","418","60","17746","94.9682319395916","5.03176806040844","3.49653355603726","1.53523450437118","2.92124918891147","0.235241259177838","0.716674751965546","0.63848274760972","0.158686783709044","0.0213902210868689","0.00204691110879128","0","0.00266098444142866","0.0386866199561552","0.00521962332741776","0.000307036666318692","0.0590022127109086","0.232119719736931","15.959288236516"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000008","South East","E06000040","Windsor and Maidenhead","868","Primary",45.5857142857143,"8546.65714285714","1088257","1097969","9712","57426","44280","13146","10506","1155395","536606","543028","1079634","8623","35046","2783","73","23","121","0","390","4524","95","439","786","1375","3","1030","7054","1","249","5656","1883","5008","599","46","10326","95.0297517299279","4.97024827007214","3.8324555671437","1.13779270292844","3.0332483696052","0.240870005495956","0.48952955482757","0.433444839210833","0.162974567139377","0.0518437417506567","0.00631818555558921","0.00199066120244592","0.0104726089346068","0.0337546899545177","0.00822229627097226","0.0379956638205982","0.0680286828314126","0.391554403472405","15.0978564771668"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000034","Kirklees","382","Primary",140.514285714286,"29672.8285714286","3886085","3909203","23118","207085","150237","56848","46860","4116288","1905297","1940464","3845761","40324","123430","10844","143","14","0","12","1267","10412","89","73","3953","2033","0","2271","18614","0","200","25493","6536","24209","610","143","35664","94.9691323833512","5.03086761664879","3.64981750548067","1.38105011116812","2.99857541552","0.263441236376075","0.61932012531679","0.588126972651088","0.158783836310773","0.0148191768894693","0.00347400376261331","0.000340112256479624","0","0.030780159211406","0.00216214220190618","0.00177344248021518","0.0960331249902825","0.252946343890418","15.2072984643356"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000022","Lambeth","208","Primary",56.8142857142857,"14439.8142857143","1808801","1824397","15596","108090","72745","35345","46939","1932487","863154","904222","1767376","41425","55716","5112","116","5","4","1","428","7859","77","1955","1472","1125","6","1082","13297","0","86","6146","5514","22375","1310","60","18660","94.406689411106","5.593310588894","3.76432027744559","1.82899031144841","2.88312418143046","0.264529593213305","0.318035774626168","1.15783443821356","0.285331803008248","0.0677882956004361","0.00600262770202335","0.00025873395267342","0.000206987162138736","0.0221476263488448","0.00398450287117067","0.101164975495307","0.0761712756670549","0.406678026812082","18.0987202925046"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E08000011","Knowsley","340","Primary",49.9571428571429,"12234.8","1493572","1498073","4501","97819","57159","40660","35049","1595892","714671","746168","1460839","32733","49608","3005","65","2","44","0","341","3628","42","10","414","580","0","703","3059","0","159","12782","2316","24181","1381","50","14427","93.8705752018307","6.1294247981693","3.58163334360972","2.54779145455958","3.10848102503177","0.188295949851243","0.800931391347284","1.51520278314573","0.145122602281357","0.0865346777852135","0.00407295731791374","0.000125321763628115","0.00275707879981853","0.0213673606985936","0.00263175703619042","0.000626608818140576","0.0259416050710198","0.227333679221401","21.6153846153846"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E08000002","Bury","351","Primary",63.1384615384615,"13368.7076923077","1638464","1646832","8368","84814","64490","20324","26564","1731646","797690","817673","1615363","23101","49168","4951","115","2","180","0","441","7079","47","80","2427","1252","0","881","6235","0","0","8352","3463","8239","270","63","13054","95.1021167143862","4.8978832856138","3.72420229076844","1.17368099484537","2.83937941126535","0.285912940635673","0.482315669599907","0.475790086426441","0.199983137431092","0.015592101387928","0.00664108022078416","0.000115497047317985","0.0103947342586187","0.0254670989336158","0.00271418061197265","0.00461988189271941","0.140155666920375","0.408801798982009","13.7356694786935"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000008","South East","E06000038","Reading","870","Primary",39.7428571428571,"12354.1428571429","1460274","1470377","10103","86247","59981","26266","20827","1556624","713067","729457","1442524","17750","47609","3605","102","21","0","22","336","5874","5","382","2025","1928","0","161","7333","2","679","7634","3077","14840","715","40","14172","94.4593556311608","5.54064436883923","3.8532747792659","1.68736958957333","3.05847783408196","0.231590930115429","0.490420294175087","0.953345188047981","0.197671370864126","0.0459327364861392","0.00655264212809259","0.00134907337931318","0","0.0215851740690109","0.000321207947455519","0.0245402871856017","0.130089218719485","0.377355096670744","18.4059922571958"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000033","Westminster","213","Primary",35.6,"6569.45714285714","780945","787395","6450","49136","35018","14118","18316","836531","374470","389935","764405","16540","27261","2827","57","2","0","0","163","3913","39","516","240","442","7","390","5338","2","271","2456","1776","8580","1306","36","7512","94.1262188729408","5.87378112705925","4.18609710817651","1.68768401888274","3.25881527403049","0.337943244183419","0.293593423316052","1.02566432086797","0.212305341941901","0.156120932756826","0.00681385387989208","0.000239082592276915","0","0.0194852312705686","0.00466211054939984","0.0616833088074441","0.0286899110732298","0.467765091789784","19.4505151420543"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E06000009","Blackpool","890","Primary",29.4142857142857,"9211.15714285714","1199472","1205474","6002","73000","41192","31808","20406","1278474","583041","599916","1182957","16515","33659","3254","26","0","386","0","699","2528","12","28","600","77","0","1012","4898","1","14","8755","3891","18813","349","30","9129","94.2900676900743","5.70993230992574","3.22196618781454","2.4879661221112","2.63274810438069","0.25452218817121","0.684800785936984","1.4715199526936","0.304347213944124","0.0272981695364943","0.00203367452134341","0","0.0301922448168676","0.0546745573238095","0.000938619009850807","0.00219011102298522","0.0469309504925403","0.197735738075237","19.2102789094328"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E06000065","North Yorkshire","815","Primary",291.742857142857,"35448.7714285714","4660468","4699797","39329","234208","181237","52971","45621","4934005","2298881","2322845","4621726","38742","139761","13709","144","11","1137","24","1690","19634","203","157","4767","6323","0","8029","24805","0","172","26265","6879","18559","1268","295","41781","95.2531868127414","4.74681318725863","3.67322286864322","1.0735903186154","2.83260758754805","0.277847306599811","0.532326173159533","0.376144734348668","0.139420207316369","0.0256992037908352","0.00291852156615164","0.000222942619636583","0.0230441598660723","0.0342520933805296","0.00411430470783876","0.00318199920754032","0.0966152243461448","0.397932308540425","13.8308182195764"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000005","West Midlands","E08000025","Birmingham","330","Primary",289.785714285714,"91261.4428571429","11589387","11640679","51292","715831","486688","229143","210136","12356510","5614706","5788014","11402720","186667","410250","27245","448","9","28","0","5735","33607","262","217","8887","4956","10","2215","43824","0","287","78350","23469","118048","9276","290","107332","94.2068512872971","5.79314871270286","3.93871732390457","1.85443138879829","3.32011223233745","0.220491060987285","0.634078716401314","0.955350661311325","0.18993227051975","0.0750697405659041","0.00362561920801262","7.28361001609678e-05","0.000226601200500789","0.0464127816025722","0.00212033980468595","0.00175615930388111","0.0719216024589467","0.271978090901072","18.8152521737257"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000006","East of England","E10000029","Suffolk","935","Primary",250.285714285714,"45865.5142857143","5976270","6024213","47943","326258","251437","74821","55754","6350471","2950887","2982014","5932901","43369","198926","16219","186","12","209","88","3714","20842","128","171","10942","5985","0","5027","35489","2","1440","30280","12385","28853","3303","252","54928","94.8624598080993","5.13754019190073","3.95934411794023","1.1781960739605","3.13246056867278","0.255398379112352","0.476815026790926","0.454344252575911","0.195024904451969","0.0520118901416919","0.00292891661106712","0.00018896236200433","0.00329109447157542","0.0584838510403402","0.00201559852804619","0.0026927136585617","0.172302180420948","0.328196129074521","15.4609718929902"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000017","Doncaster","371","Primary",96.8,"22634.5428571429","2830221","2846171","15950","157954","104743","53211","33466","3004125","1387774","1412660","2800434","29787","85200","6982","99","0","1215","4","1451","7282","138","29","2343","1858","0","1123","11666","4","1299","24881","3679","23624","1027","98","27527","94.7420962842758","5.25790371572421","3.48663920442725","1.77126451129697","2.83610036200225","0.232413764407273","0.828227853368285","0.786385386759872","0.122464944035285","0.0341863271335247","0.00329546873049557","0","0.0404443889651729","0.0483002538176674","0.00459368368493322","0.000965339325094661","0.0779927599550618","0.242400033287563","17.2318277263995"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E08000014","Sefton","343","Primary",73.8142857142857,"18514.4285714286","2327966","2338700","10734","127710","92137","35573","33229","2466410","1134656","1163222","2297878","30088","77540","7182","56","2","103","0","350","5843","26","46","989","1543","0","1507","7621","2","61","16256","3141","13537","2639","74","18437","94.8220287786702","5.17797122132979","3.73567249565157","1.44229872567821","3.14384064287771","0.291192461918335","0.659095608597111","0.548854407823517","0.127351089234961","0.106997620022624","0.00227050652567902","8.10895187742508e-05","0.00417611021687392","0.0141906657854939","0.00105416374406526","0.00186505893180777","0.040098767033867","0.236903029098974","16.2514564722854"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000008","Croydon","306","Primary",83.2857142857143,"26196.2285714286","3275579","3301796","26217","194217","133438","60779","57936","3496013","1587720","1636080","3223800","51779","105056","8640","313","90","48","0","852","12781","92","3348","2218","3767","11","2531","19745","2","161","15184","6157","34615","4823","86","31751","94.4446144794084","5.5553855205916","3.81686223706834","1.73852328352326","3.00502315065762","0.24713866910678","0.434323327745063","0.990127897121664","0.176114905751209","0.137957152905324","0.00895305595259514","0.00257436113652895","0.00137299260614878","0.0243706187591408","0.00263156916178515","0.0957662342788771","0.0634437000091247","0.36558788539974","17.7286647234623"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000004","East Midlands","E06000061","North Northamptonshire","940","Primary",108.471428571429,"24744.2857142857","3219533","3241527","21994","181427","137542","43885","35083","3422954","1584638","1605542","3190180","29353","110774","8703","287","3","362","6","1792","9453","89","126","5947","2959","0","3594","15262","3","176","14251","5730","22473","1431","111","29471","94.6996950587124","5.30030494128755","4.0182251937946","1.28207974749295","3.23621059470855","0.254254074112594","0.416336298997883","0.656538183101497","0.167399269753552","0.0418059956400232","0.0083845707537992","8.76435967296084e-05","0.0105756606720394","0.0523524417798194","0.00260009336964505","0.00368103106264355","0.173738823250327","0.276164973294996","16.263110695208"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000005","West Midlands","E06000051","Shropshire","893","Primary",127.5,"17430.9285714286","2238761","2257903","19142","124310","103352","20958","19106","2382213","1106984","1115748","2222732","16029","84308","6355","60","9","125","4","467","10387","98","58","1481","1990","0","1916","15154","0","82","9083","3077","7932","866","126","19276","94.7817428584262","5.21825714157382","4.33848694470226","0.879770196871564","3.53906220812329","0.266768756614123","0.381284125307015","0.332967706917895","0.129165611975084","0.0363527526715705","0.00251866646685246","0.000377799970027869","0.00524722180594263","0.0196036206670016","0.00411382189585902","0.00243471091795738","0.0621690839568082","0.436023143186608","15.6197325542196"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000009","South West","E06000030","Swindon","866","Primary",64.9571428571429,"17054.2857142857","2159523","2176329","16806","111447","86340","25107","22040","2287776","1063166","1077907","2141073","18450","71007","5266","225","33","48","0","442","6513","16","69","2721","1754","0","724","14050","0","278","8407","3590","11928","1182","66","19838","95.128587763837","4.87141223616298","3.7739708782678","1.09744135789518","3.10375666149133","0.230179877750269","0.367474787741457","0.521379715496622","0.156920957296519","0.0516658973605808","0.00983487893919685","0.0014424489110822","0.00209810750702866","0.0193200732938889","0.000699369169009553","0.0030160295413537","0.118936469304687","0.284686962359951","14.1104997707474"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000001","North East","E06000003","Redcar and Cleveland","807","Primary",43.5428571428571,"8859.52857142857","1138928","1152432","13504","68574","43934","24640","15117","1221006","559784","566054","1125838","13090","37754","2669","19","0","58","2","272","2079","2","0","1079","273","0","4242","8968","0","21","10823","2027","11618","172","44","11886","94.3838113817623","5.61618861823775","3.59818051672146","2.01800810151629","3.09204049775349","0.218590244437783","0.886400230629497","0.951510475787998","0.166010650234315","0.0140867448644806","0.00155609390944844","0","0.00475018140778997","0.0222767128089461","0.000163799358889309","0","0.0883697541207824","0.170269433565437","18.2541436464088"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000009","South West","E06000026","Plymouth","879","Primary",68.3857142857143,"16602","2157519","2168068","10549","126060","97453","28607","20623","2294128","1063987","1077128","2141115","16404","78535","6586","50","1","134","24","906","7121","96","74","3926","2198","0","1113","7007","0","231","11486","4219","11366","1536","69","20589","94.5051017205666","5.49489827943341","4.24793211189611","1.2469661675373","3.4233050640592","0.287080755738128","0.500669535440045","0.495438789814692","0.183904298278039","0.0669535440045194","0.00217947734389711","4.35895468779423e-05","0.00584099928164427","0.0394921294714157","0.00418459650028246","0.00322562646896773","0.171132561042801","0.310401163317827","17.3882435762056"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000025","Newham","316","Primary",66.8571428571429,"27058","3308060","3334785","26725","205924","120809","85115","54620","3540709","1608056","1649466","3257522","50538","97674","7588","200","33","649","0","112","12521","38","1318","676","3146","7","1331","22021","0","220","25727","4082","51626","3680","68","33695","94.1841026754811","5.8158973245189","3.41200025192694","2.40389707259196","2.75860004309871","0.214307360474978","0.726605885996279","1.45806955612562","0.115287644367272","0.103933986102783","0.00564858620123823","0.000932016723204307","0.018329662223018","0.00316320827269341","0.00107323137823526","0.0372241830661599","0.0190922213601852","0.353629739128519","19.0896813519728"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000001","City of London","201","Primary",1,"c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c","c"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000007","London","E09000030","Tower Hamlets","211","Primary",65.4142857142857,"18566","2391425","2409607","18182","155687","116187","39500","47263","2565294","1153497","1191367","2344864","46561","97238","6496","346","3","234","0","352","8736","30","1247","1505","2629","3","139","15267","3","141","17866","702","18974","1958","66","23656","93.93102700899","6.06897299101","4.52918846728679","1.53978452372321","3.79052069665309","0.253226335850784","0.696450387363008","0.739642317800611","0.0273652844469289","0.0763265341126592","0.0134877327900818","0.000116945660029611","0.00912176148230963","0.013721624110141","0.00116945660029611","0.0486104126856415","0.058667739448188","0.340545762006226","21.1149092821457"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000006","East of England","E06000031","Peterborough","874","Primary",59.1142857142857,"17615.9571428571","2314450","2328987","14537","121825","92665","29160","27933","2450812","1136523","1154578","2291101","23349","76803","4860","105","2","99","29","1141","6396","35","57","3138","2141","0","726","11202","0","468","8919","4584","14241","1416","60","20403","95.0291984860528","4.97080151394721","3.78099176925852","1.1898097446887","3.13377770306331","0.198301624114783","0.363920202773611","0.581072722020294","0.187040050399623","0.0577767694951714","0.0042842943481589","8.1605606631598e-05","0.0040394775282641","0.0465559985833267","0.00142809811605297","0.00232575978900054","0.128039196804977","0.26097473000785","15.26481441285"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000001","North East","E06000001","Hartlepool","805","Primary",29.7,"6559.61428571429","845473","850757","5284","48253","33159","15094","11266","899010","413121","422364","835485","9988","28551","1836","5","0","0","0","62","2397","107","31","170","761","0","601","3883","0","39","7086","1278","6447","283","30","8213","94.6326514721749","5.36734852782505","3.68839056295258","1.67895796487247","3.17582674275036","0.204224647111823","0.788200353722428","0.717122167717823","0.14215637200921","0.0314790714230098","0.000556167339629148","0","0","0.00689647501140143","0.0119019810680638","0.00344823750570072","0.018909689547391","0.266626622618213","17.9406474820144"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000004","East Midlands","E06000062","West Northamptonshire","941","Primary",145.314285714286,"29206.2714285714","3801130","3832138","31008","201709","154232","47477","42870","4033847","1868103","1895552","3763655","37475","122182","10519","235","6","377","0","1607","12741","483","116","5966","4485","0","5259","20289","0","975","17871","5395","21884","2327","147","34824","94.9995872426495","5.00041275735049","3.82344694778954","1.17696580956095","3.02892003588634","0.260768442630571","0.443026222858725","0.542509420907635","0.133743297651101","0.0576868681434868","0.00582570434624814","0.000148741387563782","0.00934591718525764","0.039837901635833","0.0119736816988845","0.00287566682623312","0.147898519700921","0.315852336491691","14.7460840067844"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000009","South West","E06000059","Dorset","838","Primary",117.728571428571,"17510.8714285714","2242564","2257640","15076","130006","97741","32265","19951","2387646","1108023","1118044","2226067","16497","77878","6930","113","1","341","0","698","8050","16","47","3667","1768","0","2023","10700","0","585","14708","3454","12079","2024","119","20393","94.555055481424","5.44494451857604","4.09361354237605","1.35133097619999","3.26170629984512","0.290244031150346","0.616004215030201","0.50589576511761","0.144661310763823","0.0847696852883551","0.00473269488022931","4.18822555772506e-05","0.0142818491518424","0.0292338143929209","0.000670116089236009","0.00196846601213078","0.153582231201778","0.337152157396867","16.5492362324559"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000002","North West","E10000017","Lancashire","888","Primary",479.1,"83476.4571428571","10725652","10784433","58781","563465","418342","145123","136896","11347898","5246399","5359401","10605800","119852","337228","30656","643","17","2760","6","4426","33508","355","58","8685","6244","1","4159","47088","3","1286","68610","17044","54759","4710","480","96115","95.0346310832191","4.96536891678089","3.68651533526297","1.27885358151792","2.97172216387564","0.270146947038121","0.604605363918498","0.48254751672953","0.150195216770542","0.041505484099346","0.00566624761695955","0.000149807479764094","0.0243216849499352","0.0390028179668164","0.00312833266566196","0.00051110787213632","0.0765339977500679","0.295279354819721","14.718660968661"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000005","West Midlands","E08000028","Sandwell","333","Primary",93.4428571428571,"29607.5714285714","3724660","3745009","20349","227828","154891","72937","64913","3972837","1807880","1859422","3667302","57358","131555","7572","452","5","10","20","907","10160","21","96","4092","671","0","179","19186","0","313","13492","7555","50829","1061","93","35732","94.2653574762821","5.73464252371794","3.89875043954736","1.83589208417058","3.31136162898201","0.190594278093967","0.339606180671394","1.27941317501826","0.190166372292646","0.0267063561882856","0.0113772601292225","0.000125854647447152","0.000251709294894304","0.0228300330469133","0.000528589519278037","0.00241640923098531","0.102999443470749","0.255736643612612","18.583158804561"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000009","South West","E06000025","South Gloucestershire","803","Primary",91.0857142857143,"20185.1857142857","2569664","2591440","21776","142596","107876","34720","24139","2734036","1267194","1282831","2550025","19639","84459","7316","249","2","1630","2","836","8380","44","312","4646","2225","0","1752","17613","0","186","18105","4500","10784","1331","93","20680","94.7844139579728","5.21558604202724","3.94566860129128","1.26991744073597","3.08916927209444","0.267589746440793","0.662207812918338","0.39443518666177","0.16459183419677","0.0486826069590891","0.0091074148255546","7.31519263096755e-05","0.0596188199423855","0.0305775051974444","0.00160934237881286","0.0114117005043094","0.169931924817376","0.30650657123754","15.3385581463272"
"202425","202425","Autumn term","Local authority","E92000001","England","E12000008","South East","E06000035","Medway","887","Primary",74.1428571428571,"21721.1714285714","2769849","2786612","16763","161306","115450","45856","30798","2947918","1360513","1383417","2743930","25919","91365","7928","279","9","160","18","1141","9913","32","74","4531","1723","0","4448","10396","0","196","13808","4879","25880","1289","75","25569","94.5281381639517","5.47186183604836","3.91632331699864","1.55553851904972","3.09930601868844","0.268935567407235","0.468398374717343","0.877907730133606","0.165506638922792","0.0437257752759744","0.00946430667338779","0.000305300215270574","0.00542755938258798","0.0387052828470806","0.0010855118765176","0.00251024621444694","0.153701697265663","0.336271225997467","16.9211195928753"
