"academic_year","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_grt_absence","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_b_aea_education_off_site","reason_d_aea_dual_registration","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","reason_x_not_attending_covid_non_compulsory","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_grt_perc","auth_holiday_perc","auth_excluded_perc","auth_other_perc","covid_non_compulsory_perc","pa_perc"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000028","Southwark",210,"Primary",52.2372881355932,"12906.9830508475","1335852","1350369","14517","77772","54559","23213","30470","1428141","642386","665441","1307827","28025","44091","3476","30","5","10","1175","198","5467","2595","535","1023","241","10658","0","4493","2445","15007","1268","107","73","22355","94.5543192163799","5.44568078362011","3.82028105068057","1.62539973293953","3.08730020355133","0.243393334411658","0.314604790423355","1.050806608031","0.171201583036969","0.0887867514482113","0.00210063292069901","0.000350105486783168","0.000700210973566336","0.0822747893940444","0.0138641772766134","0.382805339248716","0.00749225741715979","17.2426690604428"
"202223","202223","Spring term","Local authority","E92000001","England","E12000008","South East","E06000036","Bracknell Forest",867,"Primary",23.9661016949153,"7641.4406779661","804586","812322","7736","43574","34015","9559","6573","855896","397508","401469","798977","5609","28955","2035","92","0","4","467","166","2291","599","671","2","1003","6132","0","2659","964","5593","343","5","29","9842","94.9089609017918","5.09103909820819","3.97419779973268","1.11684129847552","3.38300447717947","0.237762531896399","0.31066858590296","0.653467243683812","0.112630506510137","0.0400749623786067","0.0107489695009674","0","0.000467346500042061","0.0545627038799106","0.0193948797517455","0.267672707899091","0.000584183125052576","14.5097031229919"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000025","Newham",316,"Primary",61.0169491525424,"23871.4406779661","2363673","2382476","18803","174274","98506","75768","37209","2556750","1150416","1179095","2329511","34162","85633","5311","89","1","0","754","94","6295","2279","402","317","1252","14955","0","23746","3047","46444","2531","329","68","34195","93.1837684560477","6.81623154395228","3.8527818519605","2.96344969199179","3.3492910922069","0.207724650435123","0.928757211303412","1.81652488510805","0.11917473354845","0.0989928620318764","0.00348098171506796","3.91121541018872e-05","0","0.0294905641928229","0.00367654248557739","0.24621101007138","0.0128678986995209","21.6825881030746"
"202223","202223","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E10000028","Staffordshire",860,"Primary",254.169491525424,"48368.3220338983","5147155","5190704","43549","272321","216424","55897","47251","5463025","2544090","2562507","5106597","40558","179751","11748","134","0","935","2229","1171","19103","9569","3377","18","2775","31187","0","13941","6693","31435","3828","1352","302","61245","95.015197624027","4.98480237597302","3.9616146731893","1.02318770278371","3.29031992348561","0.215045693548904","0.255188288539774","0.575413804622897","0.122514540936569","0.0700710686844743","0.00245285350149414","0","0.0171150598798285","0.040801570558436","0.0214350108227585","0.349678062977929","0.0247481935374632","14.765207368693"
"202223","202223","Spring term","Local authority","E92000001","England","E12000005","West Midlands","E06000051","Shropshire",893,"Primary",109.559322033898,"15874.5084745763","1660672","1674315","13643","91187","78151","13036","13098","1765502","825000","825494","1650494","10178","63894","4995","27","4","54","1048","478","6961","1018","691","6","2559","10060","0","3002","2920","5679","1435","690","126","22591","94.8350667402246","5.16493325977541","4.42655969803489","0.738373561740513","3.61902733613443","0.282922364290723","0.170036624144294","0.321664886247651","0.165392052798581","0.0812799985499875","0.00152931007724715","0.000226564455888467","0.0030586201544943","0.0593598874427783","0.0270744524786718","0.394278794359904","0.0390823686407605","14.9614554424915"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000014","Haringey",309,"Primary",49.6271186440678,"13137.4745762712","1365192","1381874","16682","87504","55187","32317","21453","1469378","665044","680505","1345549","19643","44882","3956","88","0","1","1028","244","4982","1401","561","418","882","13979","2","6421","1810","22099","1987","6","63","21098","94.0448271309357","5.95517286906432","3.755806878829","2.19936599023532","3.05448972286233","0.269229565162946","0.436987623334499","1.50396970691","0.123181373343006","0.13522728664782","0.00598892864872075","0","6.80560073718267e-05","0.0699615755782379","0.0166056657987257","0.339055028726441","0.00040833604423096","18.8603126575895"
"202223","202223","Spring term","Local authority","E92000001","England","E12000004","East Midlands","E10000007","Derbyshire",830,"Primary",251.016949152542,"38921.1355932203","4157488","4192633","35145","214385","175692","38693","36556","4407018","2057273","2069680","4126953","30535","141233","11106","23","0","540","2668","1751","18352","3423","1559","3","4482","27237","0","9495","6021","22113","1064","19","351","60544","95.1353727168802","4.86462728311979","3.98664130711515","0.877985976004636","3.20472936575253","0.252007139521554","0.215451808910243","0.501767862078167","0.136622995413225","0.0241433096030014","0.00052189485044082","0","0.0122531834451323","0.0605398026511351","0.0397320818748641","0.416426708490866","0.000431130528625025","13.6567707966058"
"202223","202223","Spring term","Local authority","E92000001","England","E12000007","London","E09000033","Westminster",213,"Primary",22.7457627118644,"4045.40677966102","412706","416570","3864","28161","20353","7808","9523","444731","198037","205888","403925","8781","17214","1257","6","0","0","372","71","1366","1090","272","130","349","2295","0","1320","742","5230","516","67","38","8481","93.667857648781","6.33214235121905","4.57647431818335","1.7556680330357","3.87065439557845","0.282642766076572","0.296808632634109","1.1759917793003","0.166842428344325","0.11602519275697","0.00134913014833686","0","0","0.0836460691968853","0.0159647067553195","0.307151963771358","0.0150652866564283","21.9038368139874"
"202223","202223","Spring term","Local authority","E92000001","England","E12000002","North West","E06000006","Halton",876,"Primary",41.864406779661,"7782.49152542373","801698","806443","4745","47026","33700","13326","12681","853469","389970","400192","790162","11536","28697","1821","12","0","698","588","104","1780","290","1624","0","60","4395","0","2194","1145","9657","330","0","49","10367","94.4900166262629","5.50998337373707","3.94859098573","1.56139238800706","3.36239511921347","0.213364515875796","0.257068505124381","1.13149979671201","0.134158358417236","0.0386657277534392","0.00140602646376143","0","0.0817838726421229","0.0688952967243098","0.0121855626859324","0.208560592124611","0","17.4503523382447"
"202223","202223","Spring term","Local authority","E92000001","England","E12000002","North West","E08000005","Rochdale",354,"Primary",65.5762711864407,"18513.9661016949","1911677","1918926","7249","120550","71801","48749","31333","2039476","929693","955902","1885595","26082","61449","4266","31","0","96","337","783","4808","1149","158","2","178","5920","0","11718","5251","30343","1437","31","69","22217","94.089168001977","5.91083199802302","3.5205611637499","2.39027083427312","3.01297980461648","0.209171375392503","0.574559347597128","1.48778411709674","0.257468094745905","0.0704592748333395","0.00151999827406648","0","0.00470709142936715","0.0165238522051743","0.0383922144707758","0.235746829087472","0.00151999827406648","18.7261898374202"
