"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","new_la_code","la_name","old_la_code","attendance_date","school_type","num_schools","enrolments","present_sessions","overall_attendance","approved_educational_activity","overall_absence","authorised_absence","unauthorised_absence","late_sessions","possible_sessions","reason_present_am","reason_present_pm","reason_present","reason_l_present_late_before_registers_closed","reason_i_authorised_illness","reason_m_authorised_medical_dental","reason_r_authorised_religious_observance","reason_s_authorised_study_leave","reason_t_authorised_grt_absence","reason_h_authorised_holiday","reason_e_authorised_excluded","reason_c_authorised_other","reason_b_aea_education_off_site","reason_d_aea_dual_registration","reason_j_aea_interview","reason_p_aea_approved_sporting_activity","reason_v_aea_educational_visit_trip","reason_w_aea_work_experience","reason_g_unauthorised_holiday","reason_u_unauthorised_late_after_registers_closed","reason_o_other_unauthorised","reason_n_no_reason_yet","reason_x_not_attending_covid_non_compulsory","total_num_schools","total_enrolments","attendance_perc","overall_absence_perc","authorised_absence_perc","unauthorised_absence_perc","illness_perc","appointments_perc","unauth_hol_perc","unauth_oth_perc","unauth_late_registers_closed_perc","unauth_not_yet_perc","auth_religious_perc","auth_study_perc","auth_grt_perc","auth_holiday_perc","auth_excluded_perc","auth_other_perc","covid_non_compulsory_perc"
2022,"Week 38","Local authority","E92000001","England","E12000002","North West","E08000015","Wirral","344",2022-09-22,"Special",11,1269,2216,2253,37,238,179,59,20,2491,1104,1095,2199,17,91,19,0,0,0,16,0,53,35,2,0,0,0,2,2,3,41,13,0,12,1360,"90.4456041750301","9.55439582496989","7.18586912886391","2.36852669610598","3.65315134484143","0.762745885186672","0.0802890405459655","1.64592533119229","0.120433560818948","0.521878763548776","0","0","0","0.642312324367724","0","2.12765957446809","0"
2022,"Week 38","Local authority","E92000001","England","E12000007","London","E09000029","Sutton","319",2022-09-22,"Special",2,284,482,490,8,78,49,29,2,568,240,241,481,1,18,4,0,0,0,0,2,25,6,0,0,0,0,2,4,1,24,0,0,5,618,"86.2676056338028","13.7323943661972","8.62676056338028","5.1056338028169","3.16901408450704","0.704225352112676","0.704225352112676","4.22535211267606","0.176056338028169","0","0","0","0","0","0.352112676056338","4.40140845070423","0"
2022,"Week 38","Local authority","E92000001","England","E12000008","South East","E10000011","East Sussex","845",2022-09-22,"Special",8,825,1446,1453,7,195,143,52,6,1648,720,720,1440,6,85,9,0,0,0,14,5,29,7,0,0,0,0,0,2,0,49,1,1,15,1407,"88.1674757281553","11.8325242718447","8.67718446601942","3.15533980582524","5.15776699029126","0.546116504854369","0.121359223300971","2.97330097087379","0","0.0606796116504854","0","0","0","0.849514563106796","0.303398058252427","1.75970873786408","0.0606796116504854"
2022,"Week 38","Local authority","E92000001","England","E12000005","West Midlands","E08000026","Coventry","331",2022-09-22,"Special",8,1017,1758,1764,6,266,207,59,9,2030,871,882,1753,5,122,10,0,0,0,8,24,43,6,0,0,0,0,0,8,4,43,4,0,7,1024,"86.8965517241379","13.1034482758621","10.1970443349754","2.9064039408867","6.00985221674877","0.492610837438424","0.394088669950739","2.11822660098522","0.197044334975369","0.197044334975369","0","0","0","0.394088669950739","1.18226600985222","2.11822660098522","0"
2022,"Week 38","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000017","Doncaster","371",2022-09-22,"Special",6,520,912,925,13,109,92,17,2,1034,458,453,911,1,57,7,0,0,0,6,0,22,13,6,0,0,0,0,4,1,10,2,0,7,712,"89.458413926499","10.541586073501","8.89748549323017","1.64410058027079","5.51257253384913","0.676982591876209","0.386847195357834","0.967117988394584","0.0967117988394584","0.193423597678917","0","0","0","0.580270793036751","0","2.12765957446809","0"
2022,"Week 38","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","E08000018","Rotherham","372",2022-09-22,"Special",3,439,805,805,0,73,53,20,6,878,402,398,800,5,33,7,0,0,2,2,0,9,0,0,0,0,0,0,8,1,8,3,0,6,948,"91.6856492027335","8.31435079726652","6.03644646924829","2.27790432801822","3.75854214123007","0.797266514806378","0.911161731207289","0.911161731207289","0.113895216400911","0.341685649202733","0","0","0.227790432801822","0.227790432801822","0","1.0250569476082","0"
2022,"Week 38","Local authority","E92000001","England","E12000006","East of England","E10000020","Norfolk","926",2022-09-22,"Special",9,952,1655,1687,32,217,188,29,6,1904,833,818,1651,4,107,17,0,0,0,14,2,48,28,0,0,2,2,0,4,2,23,0,0,15,1784,"88.6029411764706","11.3970588235294","9.87394957983193","1.52310924369748","5.61974789915966","0.892857142857143","0.210084033613445","1.20798319327731","0.105042016806723","0","0","0","0","0.735294117647059","0.105042016806723","2.52100840336134","0"
2022,"Week 38","Local authority","E92000001","England","E12000005","West Midlands","E10000034","Worcestershire","885",2022-09-22,"Special",6,807,1395,1412,17,192,164,28,12,1604,693,692,1385,10,84,8,0,0,0,4,8,59,14,2,0,3,0,0,12,2,12,2,1,10,1755,"88.0299251870324","11.9700748129676","10.2244389027431","1.74563591022444","5.23690773067332","0.498753117206983","0.748129675810474","0.748129675810474","0.124688279301746","0.124688279301746","0","0","0","0.249376558603491","0.498753117206983","3.6783042394015","0.0623441396508728"
2022,"Week 38","Local authority","E92000001","England","E12000008","South East","E10000016","Kent","886",2022-09-22,"Special",15,3290,5416,5687,271,780,615,165,58,6467,2695,2672,5367,49,343,47,0,0,0,30,17,178,180,4,0,7,84,0,16,9,113,27,0,26,5733,"87.9387660429875","12.0612339570125","9.50981908149064","2.55141487552188","5.30385031699397","0.726766661512293","0.247409927323334","1.74733261172105","0.139168084119375","0.417504252358126","0","0","0","0.463893613731251","0.262873047781042","2.75243544147209","0"
2022,"Week 38","Local authority","E92000001","England","E12000001","North East","E06000057","Northumberland","929",2022-09-22,"Special",5,514,852,871,19,129,115,14,7,1000,419,426,845,7,59,10,0,0,0,2,6,38,19,8,0,0,0,0,0,0,12,2,0,20,2304,"87.1","12.9","11.5","1.4","5.9","1","0","1.2","0","0.2","0","0","0","0.2","0.6","3.8","0"
