geographic_level,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,ytd_enrolments,pa_flag
Local authority,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,Special,4,903,312
Local authority,E12000001,North East,E06000003,Redcar and Cleveland,807,Special,3,382,139
Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,Special,7,710,229
Local authority,E12000007,London,E09000006,Bromley,305,Special,3,500,234
Local authority,E12000008,South East,E06000037,West Berkshire,869,Primary,48,8498,1165
Local authority,E12000007,London,E09000028,Southwark,210,Special,3,203,95
Local authority,E12000008,South East,E06000035,Medway,887,Secondary,13,11412,2876
Local authority,E12000008,South East,E06000036,Bracknell Forest,867,Special,1,154,35
Local authority,E12000007,London,E09000023,Lewisham,209,Special,4,663,257
Local authority,E12000009,South West,E06000023,"Bristol, City of",801,Special,7,858,352
Local authority,E12000007,London,E09000013,Hammersmith and Fulham,205,Secondary,8,5942,1252
Local authority,E12000009,South West,E06000052,Cornwall,908,PRU/Academy/Free school AP,6,352,251
Local authority,E12000002,North West,E06000064,Westmorland and Furness,943,Secondary,16,10746,2641
Local authority,E12000007,London,E09000017,Hillingdon,312,Special,8,938,333
Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,Special,6,863,311
Local authority,E12000005,West Midlands,E08000031,Wolverhampton,336,Secondary,20,18386,4470
Local authority,E12000008,South East,E06000060,Buckinghamshire,825,PRU/Academy/Free school AP,2,269,199
Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,391,Special,4,749,318
Local authority,E12000008,South East,E10000032,West Sussex,938,Special,10,1372,486
Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Special,5,593,190
Local authority,E12000007,London,E09000020,Kensington and Chelsea,207,Primary,23,4754,825
Local authority,E12000009,South West,E06000030,Swindon,866,Special,7,784,299
Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,391,PRU/Academy/Free school AP,2,329,279
Local authority,E12000002,North West,E06000050,Cheshire West and Chester,896,Special,10,979,307
Local authority,E12000001,North East,E08000022,North Tyneside,392,PRU/Academy/Free school AP,1,377,330
Local authority,E12000002,North West,E06000064,Westmorland and Furness,943,PRU/Academy/Free school AP,1,51,41
Local authority,E12000004,East Midlands,E10000018,Leicestershire,855,PRU/Academy/Free school AP,1,22,11
Local authority,E12000009,South West,E10000008,Devon,878,PRU/Academy/Free school AP,4,265,177
Local authority,E12000002,North West,E08000013,St. Helens,342,Special,3,367,122
Local authority,E12000002,North West,E06000006,Halton,876,Special,3,291,92
Local authority,E12000002,North West,E08000001,Bolton,350,Special,5,639,234
Local authority,E12000007,London,E09000004,Bexley,303,Special,7,763,252
Local authority,E12000009,South West,E06000023,"Bristol, City of",801,PRU/Academy/Free school AP,4,481,405
Local authority,E12000002,North West,E08000005,Rochdale,354,Special,3,626,377
Local authority,E12000009,South West,E06000054,Wiltshire,865,Special,4,939,307
Local authority,E12000007,London,E09000032,Wandsworth,212,Special,7,706,280
Local authority,E12000008,South East,E06000039,Slough,871,Special,1,34,13
Local authority,E12000002,North West,E08000014,Sefton,343,PRU/Academy/Free school AP,2,132,114
Local authority,E12000008,South East,E06000046,Isle of Wight,921,Secondary,6,6087,1797
Local authority,E12000008,South East,E06000038,Reading,870,Secondary,7,5947,1286
Local authority,E12000002,North West,E08000006,Salford,355,Secondary,14,13302,3409
Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,PRU/Academy/Free school AP,1,171,119
Local authority,E12000002,North West,E08000008,Tameside,357,Secondary,16,15360,3541
Local authority,E12000007,London,E09000030,Tower Hamlets,211,Special,4,592,258
Local authority,E12000004,East Midlands,E06000016,Leicester,856,PRU/Academy/Free school AP,2,148,118
Local authority,E12000007,London,E09000002,Barking and Dagenham,301,Special,3,451,195
Local authority,E12000005,West Midlands,E06000020,Telford and Wrekin,894,Special,3,491,164
Local authority,E12000006,East of England,E10000012,Essex,881,PRU/Academy/Free school AP,2,301,290
Local authority,E12000001,North East,E06000005,Darlington,841,Secondary,7,5369,1459
Local authority,E12000007,London,E09000027,Richmond upon Thames,318,Special,3,320,91
Local authority,E12000008,South East,E06000037,West Berkshire,869,Special,1,119,26
Local authority,E12000007,London,E09000017,Hillingdon,312,Secondary,21,15714,3673
Local authority,E12000006,East of England,E06000031,Peterborough,874,Special,5,648,252
Local authority,E12000008,South East,E06000046,Isle of Wight,921,Special,2,232,84
Local authority,E12000007,London,E09000010,Enfield,308,Special,6,933,360
Local authority,E12000008,South East,E06000040,Windsor and Maidenhead,868,Special,3,444,163
Local authority,E12000005,West Midlands,E08000031,Wolverhampton,336,Special,7,890,305
Local authority,E12000009,South West,E06000066,Somerset,933,Secondary,21,17606,5065
Local authority,E12000002,North West,E06000064,Westmorland and Furness,943,Special,3,214,77
Local authority,E12000005,West Midlands,E08000026,Coventry,331,Secondary,16,16015,3944
Local authority,E12000006,East of England,E06000055,Bedford,822,Special,3,379,106
Local authority,E12000006,East of England,E06000032,Luton,821,Special,3,574,191
Local authority,E12000007,London,E09000021,Kingston upon Thames,314,Secondary,8,7309,1335
Local authority,E12000009,South West,E06000066,Somerset,933,Special,7,860,364
Local authority,E12000006,East of England,E06000055,Bedford,822,Secondary,13,10071,2388
Local authority,E12000001,North East,E06000002,Middlesbrough,806,Special,5,595,195
Local authority,E12000007,London,E09000022,Lambeth,208,Special,3,201,82
Local authority,E12000009,South West,E06000026,Plymouth,879,Special,7,664,233
Local authority,E12000008,South East,E06000043,Brighton and Hove,846,Secondary,6,7305,1864
Local authority,E12000001,North East,E08000023,South Tyneside,393,Secondary,4,4219,1261
Local authority,E12000007,London,E09000016,Havering,311,Special,3,190,89
Local authority,E12000008,South East,E06000035,Medway,887,Special,4,744,232
Local authority,E12000001,North East,E08000037,Gateshead,390,Special,2,147,58
Local authority,E12000002,North West,E08000001,Bolton,350,PRU/Academy/Free school AP,3,208,164
Local authority,E12000007,London,E09000032,Wandsworth,212,PRU/Academy/Free school AP,1,43,15
Local authority,E12000002,North West,E08000006,Salford,355,Special,5,1174,448
Local authority,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,PRU/Academy/Free school AP,6,601,339
Local authority,E12000005,West Midlands,E08000031,Wolverhampton,336,State-funded nursery,2,2,2
Local authority,E12000009,South West,E06000066,Somerset,933,PRU/Academy/Free school AP,2,160,103
Local authority,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",839,Special,4,717,225
Local authority,E12000007,London,E09000024,Merton,315,Secondary,6,6325,1195
Local authority,E12000005,West Midlands,E08000026,Coventry,331,Special,8,1063,391
Local authority,E12000003,Yorkshire and The Humber,E06000014,York,816,Special,2,295,86
Local authority,E12000007,London,E09000031,Waltham Forest,320,PRU/Academy/Free school AP,2,38,24
Local authority,E12000002,North West,E08000013,St. Helens,342,Secondary,8,9338,2368
Local authority,E12000007,London,E09000005,Brent,304,Special,3,347,69
Local authority,E12000007,London,E09000025,Newham,316,PRU/Academy/Free school AP,3,332,221
Local authority,E12000007,London,E09000012,Hackney,204,Special,2,252,97
Local authority,E12000002,North West,E06000063,Cumberland,942,Special,3,392,125
Local authority,E12000008,South East,E06000042,Milton Keynes,826,Secondary,11,15526,3640
Local authority,E12000002,North West,E08000004,Oldham,353,Special,6,1193,528
Local authority,E12000008,South East,E06000042,Milton Keynes,826,PRU/Academy/Free school AP,2,212,203
Local authority,E12000009,South West,E06000052,Cornwall,908,Special,4,439,157
Local authority,E12000005,West Midlands,E08000029,Solihull,334,PRU/Academy/Free school AP,2,176,125
Local authority,E12000008,South East,E06000044,Portsmouth,851,Secondary,8,8472,2334
Local authority,E12000006,East of England,E06000032,Luton,821,Secondary,11,12442,2751
Local authority,E12000002,North West,E08000003,Manchester,352,PRU/Academy/Free school AP,2,361,283
Local authority,E12000008,South East,E10000016,Kent,886,PRU/Academy/Free school AP,3,250,205
Local authority,E12000007,London,E09000020,Kensington and Chelsea,207,Secondary,5,4594,1117
Local authority,E12000007,London,E09000028,Southwark,210,Secondary,8,6803,1505
Local authority,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,PRU/Academy/Free school AP,3,176,137
Local authority,E12000005,West Midlands,E08000027,Dudley,332,Special,6,717,217
Local authority,E12000007,London,E09000005,Brent,304,PRU/Academy/Free school AP,1,20,14
Local authority,E12000003,Yorkshire and The Humber,E06000014,York,816,Secondary,9,10016,2508
Local authority,E12000007,London,E09000029,Sutton,319,PRU/Academy/Free school AP,2,265,199
Local authority,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Special,5,335,107
Local authority,E12000007,London,E09000032,Wandsworth,212,Secondary,7,6535,1286
Local authority,E12000007,London,E09000015,Harrow,310,Secondary,9,10460,2160
Local authority,E12000005,West Midlands,E08000025,Birmingham,330,PRU/Academy/Free school AP,2,108,80
Local authority,E12000002,North West,E08000009,Trafford,358,PRU/Academy/Free school AP,1,114,106
Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Special,8,1737,603
Local authority,E12000001,North East,E06000001,Hartlepool,805,Special,2,255,66
Local authority,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,Special,4,524,209
Local authority,E12000004,East Midlands,E10000019,Lincolnshire,925,PRU/Academy/Free school AP,5,310,204
Local authority,E12000008,South East,E06000043,Brighton and Hove,846,Special,2,258,120
Local authority,E12000007,London,E09000009,Ealing,307,Special,4,508,160
Local authority,E12000002,North West,E08000011,Knowsley,340,Special,3,502,212
Local authority,E12000001,North East,E06000003,Redcar and Cleveland,807,Secondary,10,8444,2272
Local authority,E12000004,East Midlands,E06000061,North Northamptonshire,940,Special,6,848,331
Local authority,E12000007,London,E09000020,Kensington and Chelsea,207,Special,2,165,47
Local authority,E12000007,London,E09000013,Hammersmith and Fulham,205,PRU/Academy/Free school AP,2,138,105
Local authority,E12000008,South East,E06000037,West Berkshire,869,PRU/Academy/Free school AP,1,125,99
Local authority,E12000005,West Midlands,E10000034,Worcestershire,885,PRU/Academy/Free school AP,7,399,291
Local authority,E12000007,London,E09000018,Hounslow,313,PRU/Academy/Free school AP,1,201,141
Local authority,E12000007,London,E09000026,Redbridge,317,Special,4,533,198
Local authority,E12000007,London,E09000025,Newham,316,Special,3,214,113
Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,PRU/Academy/Free school AP,1,88,77
Local authority,E12000005,West Midlands,E08000028,Sandwell,333,Special,5,682,230
Local authority,E12000005,West Midlands,E08000027,Dudley,332,PRU/Academy/Free school AP,1,37,31
Local authority,E12000002,North West,E08000006,Salford,355,PRU/Academy/Free school AP,5,331,231
Local authority,E12000001,North East,E08000022,North Tyneside,392,Special,4,595,169
Local authority,E12000007,London,E09000007,Camden,202,Special,3,288,130
Local authority,E12000008,South East,E06000044,Portsmouth,851,Special,4,692,331
Local authority,E12000007,London,E09000033,Westminster,213,Secondary,7,5369,1406
Local authority,E12000006,East of England,E06000031,Peterborough,874,PRU/Academy/Free school AP,1,170,150
Local authority,E12000002,North West,E06000049,Cheshire East,895,PRU/Academy/Free school AP,2,130,104
Local authority,E12000004,East Midlands,E06000017,Rutland,857,Secondary,3,3004,691
Local authority,E12000001,North East,E06000004,Stockton-on-Tees,808,Special,4,577,192
Local authority,E12000008,South East,E06000038,Reading,870,Special,4,336,152
Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,371,PRU/Academy/Free school AP,2,196,134
Local authority,E12000009,South West,E06000030,Swindon,866,PRU/Academy/Free school AP,1,168,141
Local authority,E12000008,South East,E10000025,Oxfordshire,931,PRU/Academy/Free school AP,1,151,123
Local authority,E12000006,East of England,E06000055,Bedford,822,PRU/Academy/Free school AP,1,105,82
Local authority,E12000007,London,E09000020,Kensington and Chelsea,207,PRU/Academy/Free school AP,1,89,72
Local authority,E12000009,South West,E06000059,Dorset,838,Special,4,590,208
Local authority,E12000008,South East,E10000014,Hampshire,850,PRU/Academy/Free school AP,3,209,169
Local authority,E12000007,London,E09000010,Enfield,308,PRU/Academy/Free school AP,1,90,62
Local authority,E12000007,London,E09000014,Haringey,309,Special,5,487,167
Local authority,E12000007,London,E09000015,Harrow,310,PRU/Academy/Free school AP,1,67,60
Local authority,E12000007,London,E09000033,Westminster,213,Special,3,239,84
Local authority,E12000009,South West,E06000027,Torbay,880,Special,3,487,191
Local authority,E12000004,East Midlands,E06000018,Nottingham,892,PRU/Academy/Free school AP,3,375,337
Local authority,E12000006,East of England,E06000032,Luton,821,PRU/Academy/Free school AP,1,127,97
Local authority,E12000005,West Midlands,E06000051,Shropshire,893,PRU/Academy/Free school AP,1,164,125
Local authority,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,812,PRU/Academy/Free school AP,2,151,131
Local authority,E12000007,London,E09000001,City of London,201,Primary,1,177,18
Local authority,E12000007,London,E09000007,Camden,202,PRU/Academy/Free school AP,3,94,65
Local authority,E12000008,South East,E06000038,Reading,870,PRU/Academy/Free school AP,1,83,83
Local authority,E12000004,East Midlands,E10000007,Derbyshire,830,Special,9,799,265
Local authority,E12000002,North West,E08000012,Liverpool,341,PRU/Academy/Free school AP,3,358,294
Local authority,E12000008,South East,E06000041,Wokingham,872,Special,4,415,140
Local authority,E12000004,East Midlands,E06000062,West Northamptonshire,941,PRU/Academy/Free school AP,2,129,88
Local authority,E12000001,North East,E08000024,Sunderland,394,PRU/Academy/Free school AP,3,294,233
Local authority,E12000002,North West,E08000011,Knowsley,340,PRU/Academy/Free school AP,1,174,150
Local authority,E12000001,North East,E06000004,Stockton-on-Tees,808,PRU/Academy/Free school AP,1,77,73
Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,381,Special,2,268,76
Local authority,E12000009,South West,E10000013,Gloucestershire,916,PRU/Academy/Free school AP,1,215,197
Local authority,E12000007,London,E09000029,Sutton,319,Special,4,571,249
Local authority,E12000008,South East,E06000035,Medway,887,PRU/Academy/Free school AP,1,87,43
Local authority,E12000001,North East,E06000047,County Durham,840,PRU/Academy/Free school AP,1,56,46
Local authority,E12000002,North West,E06000007,Warrington,877,PRU/Academy/Free school AP,1,56,46
Local authority,E12000007,London,E09000014,Haringey,309,Secondary,5,5418,1329
Local authority,E12000002,North West,E06000049,Cheshire East,895,Special,4,436,150
Local authority,E12000008,South East,E06000045,Southampton,852,PRU/Academy/Free school AP,1,128,111
Local authority,E12000008,South East,E06000046,Isle of Wight,921,PRU/Academy/Free school AP,1,95,78
Local authority,E12000007,London,E09000021,Kingston upon Thames,314,Special,3,404,180
Local authority,E12000009,South West,E06000025,South Gloucestershire,803,Special,2,178,71
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,PRU/Academy/Free school AP,1,84,72
Local authority,E12000007,London,E09000011,Greenwich,203,Special,2,302,108
Local authority,E12000005,West Midlands,E08000028,Sandwell,333,PRU/Academy/Free school AP,3,276,240
Local authority,E12000002,North West,E08000004,Oldham,353,PRU/Academy/Free school AP,1,120,99
Local authority,E12000007,London,E09000024,Merton,315,Special,3,451,182
Local authority,E12000008,South East,E10000030,Surrey,936,PRU/Academy/Free school AP,6,282,188
Local authority,E12000009,South West,E06000027,Torbay,880,PRU/Academy/Free school AP,1,54,52
Local authority,E12000007,London,E09000014,Haringey,309,PRU/Academy/Free school AP,1,100,45
Local authority,E12000005,West Midlands,E06000020,Telford and Wrekin,894,PRU/Academy/Free school AP,3,174,130
Local authority,E12000007,London,E09000024,Merton,315,PRU/Academy/Free school AP,1,118,62
Local authority,E12000009,South West,E06000024,North Somerset,802,Special,1,106,29
Local authority,E12000008,South East,E06000036,Bracknell Forest,867,PRU/Academy/Free school AP,1,31,29
Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,State-funded nursery,1,1,0
Local authority,E12000005,West Midlands,E08000029,Solihull,334,Special,3,374,130
Local authority,E12000007,London,E09000030,Tower Hamlets,211,PRU/Academy/Free school AP,1,187,139
Local authority,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,Special,1,156,30
Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,380,PRU/Academy/Free school AP,1,88,63
Local authority,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,813,PRU/Academy/Free school AP,1,30,16
Local authority,E12000005,West Midlands,E10000028,Staffordshire,860,PRU/Academy/Free school AP,4,246,210
Local authority,E12000001,North East,E06000057,Northumberland,929,PRU/Academy/Free school AP,1,62,51
Local authority,E12000002,North West,E08000007,Stockport,356,PRU/Academy/Free school AP,1,179,174
Local authority,E12000009,South West,E06000059,Dorset,838,PRU/Academy/Free school AP,3,176,137
Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Special,2,393,144
Local authority,E12000002,North West,E06000009,Blackpool,890,PRU/Academy/Free school AP,1,173,152
Local authority,E12000002,North West,E08000005,Rochdale,354,PRU/Academy/Free school AP,1,156,148
Local authority,E12000007,London,E09000012,Hackney,204,PRU/Academy/Free school AP,1,48,30
Local authority,E12000002,North West,E06000050,Cheshire West and Chester,896,PRU/Academy/Free school AP,2,94,83
Local authority,E12000005,West Midlands,E08000026,Coventry,331,PRU/Academy/Free school AP,1,131,125
Local authority,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,PRU/Academy/Free school AP,1,156,138
Local authority,E12000007,London,E09000011,Greenwich,203,PRU/Academy/Free school AP,1,177,134
Local authority,E12000001,North East,E08000023,South Tyneside,393,State-funded nursery,1,1,0
Local authority,E12000007,London,E09000023,Lewisham,209,PRU/Academy/Free school AP,1,137,99
Local authority,E12000007,London,E09000003,Barnet,302,PRU/Academy/Free school AP,2,185,162
Local authority,E12000008,South East,E06000041,Wokingham,872,PRU/Academy/Free school AP,1,43,37
Local authority,E12000009,South West,E06000022,Bath and North East Somerset,800,Special,2,297,123
Local authority,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Special,3,339,126
Local authority,E12000005,West Midlands,E06000021,Stoke-on-Trent,861,PRU/Academy/Free school AP,1,41,32
Local authority,E12000007,London,E09000017,Hillingdon,312,PRU/Academy/Free school AP,1,101,76
Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,811,Special,2,223,81
Local authority,E12000001,North East,E08000023,South Tyneside,393,PRU/Academy/Free school AP,1,91,53
Local authority,E12000007,London,E09000033,Westminster,213,PRU/Academy/Free school AP,1,102,74
Local authority,E12000002,North West,E06000006,Halton,876,PRU/Academy/Free school AP,1,119,102
Local authority,E12000007,London,E09000026,Redbridge,317,PRU/Academy/Free school AP,2,153,109
Local authority,E12000003,Yorkshire and The Humber,E08000036,Wakefield,384,PRU/Academy/Free school AP,2,157,139
Local authority,E12000001,North East,E06000003,Redcar and Cleveland,807,PRU/Academy/Free school AP,1,90,83
Local authority,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,PRU/Academy/Free school AP,1,132,101
Local authority,E12000001,North East,E06000005,Darlington,841,Special,2,341,94
Local authority,E12000007,London,E09000004,Bexley,303,PRU/Academy/Free school AP,1,93,69
Local authority,E12000007,London,E09000022,Lambeth,208,PRU/Academy/Free school AP,1,146,108
Local authority,E12000001,North East,E06000001,Hartlepool,805,PRU/Academy/Free school AP,1,63,59
Local authority,E12000002,North West,E08000008,Tameside,357,PRU/Academy/Free school AP,1,154,133
Local authority,E12000002,North West,E06000063,Cumberland,942,PRU/Academy/Free school AP,1,85,67
Local authority,E12000009,South West,E06000053,Isles of Scilly,420,Secondary,1,235,51
Regional,E12000004,East Midlands,,,,PRU/Academy/Free school AP,19,1779,1404
Regional,E12000002,North West,,,,Special,147,19260,7139
Regional,E12000001,North East,,,,Secondary,153,132874,38378
Regional,E12000007,London,,,,Special,126,14843,5682
Regional,E12000006,East of England,,,,Secondary,311,292544,69611
Regional,E12000002,North West,,,,Secondary,413,394223,100918
Regional,E12000006,East of England,,,,PRU/Academy/Free school AP,17,1748,1470
Regional,E12000005,West Midlands,,,,Primary,1655,403649,66320
Regional,E12000007,London,,,,Secondary,352,333131,71702
Regional,E12000007,London,,,,PRU/Academy/Free school AP,36,3454,2450
Regional,E12000003,Yorkshire and The Humber,,,,Special,72,10052,3549
Regional,E12000002,North West,,,,PRU/Academy/Free school AP,41,4378,3665
Regional,E12000005,West Midlands,,,,State-funded nursery,2,2,2
Regional,E12000001,North East,,,,Special,53,7551,2696
Regional,E12000006,East of England,,,,Special,96,12303,4452
Regional,E12000005,West Midlands,,,,Special,105,14209,5065
Regional,E12000003,Yorkshire and The Humber,,,,State-funded nursery,1,1,0
Regional,E12000002,North West,,,,Primary,2308,509384,84884
Regional,E12000001,North East,,,,Primary,777,156608,28574
Regional,E12000003,Yorkshire and The Humber,,,,Primary,1651,361835,61008
Regional,E12000005,West Midlands,,,,PRU/Academy/Free school AP,31,2149,1703
Regional,E12000004,East Midlands,,,,Secondary,250,249223,63501
Regional,E12000007,London,,,,Primary,1522,486510,79430
Regional,E12000008,South East,,,,Special,131,18106,6561
Regional,E12000009,South West,,,,Secondary,289,260056,69703
Regional,E12000001,North East,,,,State-funded nursery,1,1,0
Regional,E12000003,Yorkshire and The Humber,,,,Secondary,289,298060,79714
Regional,E12000006,East of England,,,,Primary,1801,397589,61613
Regional,E12000009,South West,,,,Primary,1663,313605,47360
Regional,E12000004,East Midlands,,,,Primary,1520,316624,50184
Regional,E12000009,South West,,,,Special,71,9433,3373
Regional,E12000009,South West,,,,PRU/Academy/Free school AP,22,1871,1463
Regional,E12000005,West Midlands,,,,Secondary,363,323481,81339
Regional,E12000008,South East,,,,PRU/Academy/Free school AP,26,2237,1806
Regional,E12000008,South East,,,,Secondary,420,430177,104535
Regional,E12000004,East Midlands,,,,Special,78,9816,3690
Regional,E12000001,North East,,,,PRU/Academy/Free school AP,12,1439,1207
Regional,E12000008,South East,,,,Primary,2334,560113,85338
Regional,E12000003,Yorkshire and The Humber,,,,PRU/Academy/Free school AP,27,2167,1581
National,,,,,,Secondary,2840,2713769,679401
National,,,,,,Special,879,115573,42207
National,,,,,,State-funded nursery,4,4,2
National,,,,,,PRU/Academy/Free school AP,231,21222,16749
National,,,,,,Primary,15231,3505917,564711
