time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,phase,total_num_schools,total_enrolments
2023,November,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,Primary,86,25392
2023,November,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,Independent school,3,147
2023,November,Local authority,E92000001,England,E12000008,South East,E10000030,936,Surrey,Special,30,3523
2023,November,Local authority,E92000001,England,E12000007,London,E09000016,311,Havering,PRU/Academy/Free school AP,1,11
2023,November,Local authority,E92000001,England,E12000008,South East,E06000041,872,Wokingham,Secondary,10,13012
2023,November,Local authority,E92000001,England,E12000007,London,E09000009,307,Ealing,PRU/Academy/Free school AP,2,60
2023,November,Local authority,E92000001,England,E12000007,London,E09000032,212,Wandsworth,State-funded nursery,3,166
2023,November,Local authority,E92000001,England,E12000008,South East,E06000036,867,Bracknell Forest,Independent school,7,3287
2023,November,Local authority,E92000001,England,E12000006,East of England,E06000034,883,Thurrock,Special,3,498
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,Secondary,20,18309
2023,November,Local authority,E92000001,England,E12000009,South West,E10000008,878,Devon,Independent school,42,7192
2023,November,Local authority,E92000001,England,E12000001,North East,E06000047,840,County Durham,Secondary,31,27459
2023,November,Local authority,E92000001,England,E12000009,South West,E06000030,866,Swindon,Independent school,1,77
2023,November,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,370,Barnsley,PRU/Academy/Free school AP,1,56
2023,November,Local authority,E92000001,England,E12000007,London,E09000026,317,Redbridge,Primary,52,28901
2023,November,Local authority,E92000001,England,E12000006,East of England,E10000015,919,Hertfordshire,PRU/Academy/Free school AP,8,90
2023,November,Local authority,E92000001,England,E12000007,London,E09000004,303,Bexley,Special,7,736
2023,November,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,383,Leeds,Secondary,47,55161
2023,November,Local authority,E92000001,England,E12000001,North East,E06000003,807,Redcar and Cleveland,Special,4,475
2023,November,Local authority,E92000001,England,E12000009,South West,E06000054,865,Wiltshire,Secondary,29,31364
2023,November,Local authority,E92000001,England,E12000007,London,E09000004,303,Bexley,Secondary,16,19132
2023,November,Local authority,E92000001,England,E12000007,London,E09000031,320,Waltham Forest,Secondary,18,16768
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E08000031,336,Wolverhampton,Secondary,20,20571
2023,November,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Secondary,5,5832
2023,November,Local authority,E92000001,England,E12000004,East Midlands,E10000007,830,Derbyshire,Independent school,28,4071
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E10000031,937,Warwickshire,Secondary,37,37578
2023,November,Local authority,E92000001,England,E12000007,London,E09000031,320,Waltham Forest,PRU/Academy/Free school AP,3,22
2023,November,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,Secondary,22,22610
2023,November,Local authority,E92000001,England,E12000002,North West,E08000002,351,Bury,State-funded nursery,1,96
2023,November,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,810,"Kingston upon Hull, City of",Primary,71,25432
2023,November,Local authority,E92000001,England,E12000001,North East,E06000001,805,Hartlepool,Independent school,2,16
2023,November,Local authority,E92000001,England,E12000008,South East,E06000044,851,Portsmouth,Special,5,667
2023,November,Local authority,E92000001,England,E12000007,London,E09000033,213,Westminster,Independent school,33,9639
2023,November,Local authority,E92000001,England,E12000007,London,E09000005,304,Brent,Special,5,836
2023,November,Local authority,E92000001,England,E12000007,London,E09000008,306,Croydon,Secondary,25,24324
2023,November,Local authority,E92000001,England,E12000006,East of England,E06000055,822,Bedford,Independent school,10,4553
2023,November,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,Primary,67,29378
2023,November,Local authority,E92000001,England,E12000007,London,E09000021,314,Kingston upon Thames,Independent school,12,4225
2023,November,Local authority,E92000001,England,E12000002,North West,E08000004,353,Oldham,Independent school,12,1530
2023,November,Local authority,E92000001,England,E12000008,South East,E06000035,887,Medway,Independent school,9,1789
2023,November,Local authority,E92000001,England,E12000004,East Midlands,E06000016,856,Leicester,Secondary,23,20914
2023,November,Local authority,E92000001,England,E12000004,East Midlands,E06000062,941,West Northamptonshire,Primary,147,35013
2023,November,Local authority,E92000001,England,E12000007,London,E09000017,312,Hillingdon,Independent school,8,4110
2023,November,Local authority,E92000001,England,E12000009,South West,E06000059,838,Dorset,Special,6,848
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E06000051,893,Shropshire,Independent school,32,4932
2023,November,Local authority,E92000001,England,E12000006,East of England,E10000029,935,Suffolk,Primary,253,56939
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E08000028,333,Sandwell,Special,6,787
2023,November,Local authority,E92000001,England,E12000006,East of England,E10000003,873,Cambridgeshire,PRU/Academy/Free school AP,3,3
2023,November,Local authority,E92000001,England,E12000007,London,E09000027,318,Richmond upon Thames,Primary,45,16697
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E08000027,332,Dudley,Primary,78,26987
2023,November,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000065,815,North Yorkshire,Secondary,43,36872
2023,November,Local authority,E92000001,England,E12000009,South West,E06000066,933,Somerset,Special,8,941
2023,November,Local authority,E92000001,England,E12000007,London,E09000011,203,Greenwich,Independent school,14,3596
2023,November,Local authority,E92000001,England,E12000007,London,E09000004,303,Bexley,Independent school,6,737
2023,November,Local authority,E92000001,England,E12000007,London,E09000025,316,Newham,Primary,68,34294
2023,November,Local authority,E92000001,England,E12000007,London,E09000027,318,Richmond upon Thames,Secondary,11,11859
2023,November,Local authority,E92000001,England,E12000001,North East,E08000024,394,Sunderland,State-funded nursery,7,686
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E08000030,335,Walsall,Primary,84,28547
2023,November,Local authority,E92000001,England,E12000006,East of England,E06000032,821,Luton,Special,4,784
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E06000019,884,"Herefordshire, County of",Primary,78,13528
2023,November,Local authority,E92000001,England,E12000002,North West,E06000050,896,Cheshire West and Chester,PRU/Academy/Free school AP,2,60
2023,November,Local authority,E92000001,England,E12000007,London,E09000025,316,Newham,Special,3,228
2023,November,Local authority,E92000001,England,E12000005,West Midlands,E08000025,330,Birmingham,Secondary,90,87476
2023,November,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,372,Rotherham,Secondary,17,19113
2023,November,Local authority,E92000001,England,E12000008,South East,E06000038,870,Reading,State-funded nursery,5,405
