time_period,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,school_type,num_schools,enrolments,present_sessions,overall_attendance,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_grt_absence,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_b_aea_education_off_site,reason_d_aea_dual_registration,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,total_num_schools,total_enrolments,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_grt_perc,auth_holiday_perc,auth_excluded_perc,auth_other_perc,pa_perc,time_identifier
202324,Local authority,E92000001,England,E12000008,South East,E06000060,Buckinghamshire,825,Primary,178.8662791,37459.43605,11563198,11676156,112958,662113,521227,140886,143222,12338269,5670041,5765705,11435746,127452,423736,32496,7549,12,1834,4738,2694,48166,7283,8071,571,6263,98837,4,62193,15770,59078,3845,184,44234,94.63366377,5.366336234,4.224474276,1.141861958,3.434322918,0.263375681,0.504065846,0.478819193,0.127813715,0.031163204,0.061183623,9.72583755468454e-05,0.014864322,0.038400849,0.021834505,0.39037891,13.71606406,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000027,Richmond upon Thames,318,Primary,40.54069767,12052.25581,3856144,3918701,62557,177496,132517,44979,47003,4096197,1894480,1918530,3813010,43134,107933,10963,901,0,4,312,252,12152,4995,272,4660,7352,45546,4,13064,3869,26576,1470,45,16697,95.66680997,4.33319003,3.235122725,1.098067305,2.634956278,0.267638495,0.318929973,0.648796921,0.094453465,0.035886946,0.021996012,0,9.7651553379879e-05,0.007616821,0.006152048,0.296665419,9.431948151,Academic year
202324,Local authority,E92000001,England,E12000009,South West,E06000052,Cornwall,908,Primary,231.255814,33543.26163,10444512,10583124,138612,668841,488463,180378,112945,11251965,5151430,5196061,10347491,97021,386619,33910,551,6,896,10385,4090,52006,23096,12471,113,18407,96995,1,82167,15924,73829,8458,234,42262,94.05578492,5.944215077,4.341135082,1.603079995,3.436013176,0.301369583,0.730245784,0.656143171,0.141521947,0.075169093,0.004896922,5.33240194046107e-05,0.007963054,0.09229499,0.036349207,0.462194826,16.19419549,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000015,Harrow,310,Primary,36.80813953,17227.65698,5364330,5422713,58383,279686,225160,54526,60118,5702399,2640969,2666018,5306987,57343,181493,12108,7692,2,277,766,551,22271,5699,798,2782,5075,44823,4,13596,2775,29365,8790,40,21965,95.09529235,4.90470765,3.948513599,0.956194051,3.182748173,0.212331687,0.238425968,0.514958704,0.048663729,0.15414565,0.134890596,3.50729578901792e-05,0.004857605,0.013432943,0.0096626,0.390554923,13.7414678,Academic year
202324,Local authority,E92000001,England,E12000006,East of England,E06000056,Central Bedfordshire,823,Primary,90.77325581,17269.9593,5448737,5495304,46567,322127,241109,81018,44313,5817431,2697067,2718799,5415866,32871,191356,15485,898,0,2448,5183,1670,24069,6510,33018,224,3433,36056,344,28795,11442,39325,1456,97,23641,94.46272762,5.53727238,4.144595785,1.392676596,3.289355731,0.266182788,0.494977938,0.675985671,0.196684757,0.02502823,0.015436367,0,0.04208043,0.08909431,0.02870683,0.413739329,14.23489463,Academic year
202324,Local authority,E92000001,England,E12000005,West Midlands,E08000030,Walsall,335,Primary,76.44382022,20501.28652,6543268,6587044,43776,423647,255353,168294,111733,7010691,3176163,3265661,6441824,101444,198267,13771,12553,17,348,1759,1848,26790,6607,1168,118,1785,35266,0,47973,10289,107592,2440,85,28311,93.95712919,6.04287081,3.642337111,2.400533699,2.828066449,0.196428569,0.684283475,1.534684669,0.146761567,0.034803987,0.179055103,0.000242487,0.004963847,0.025090251,0.026359741,0.382130663,17.47824899,Academic year
202324,Local authority,E92000001,England,E12000005,West Midlands,E08000031,Wolverhampton,336,Primary,68.24157303,20605.32022,6590699,6642737,52038,404091,247665,156426,121451,7046828,3186695,3285244,6471939,118760,189624,12054,7064,9,23,6969,2972,28950,6554,3412,276,997,44211,0,45629,2691,103251,4855,71,25294,94.26563271,5.734367293,3.514560026,2.219807266,2.690912848,0.171055686,0.647511192,1.465212433,0.038187394,0.068896247,0.100243684,0.000127717,0.000326388,0.09889556,0.042175004,0.410823139,16.32458883,Academic year
202324,Local authority,E92000001,England,E12000005,West Midlands,E08000028,Sandwell,333,Primary,92.74719101,29094.46067,9175644,9242731,67087,584425,372598,211827,166804,9827156,4447938,4577118,9025056,150588,302166,17440,20614,3,29,2017,2314,28015,3893,8785,93,1069,62031,1,43112,16216,148646,3853,91,34838,94.05295896,5.947041036,3.791514045,2.155526991,3.07480618,0.177467418,0.438702713,1.512604461,0.165012136,0.039207681,0.209765674,3.05276521508359e-05,0.000295101,0.020524758,0.023546996,0.285077392,17.2994567,Academic year
202324,Local authority,E92000001,England,E12000002,North West,E08000012,Liverpool,341,Primary,110.2881356,32255.38418,10067308,10128628,61320,628230,339943,288287,253844,10756858,4796895,5026389,9823284,244024,282280,21444,3669,1,318,1065,2464,28702,12786,5749,297,2615,45617,5,76040,9820,192819,9608,115,38394,94.15972582,5.840274177,3.160244376,2.680029801,2.624186356,0.199351893,0.706897869,1.792521571,0.091290598,0.089319762,0.034108473,9.29639491383079e-06,0.002956254,0.009900661,0.022906317,0.266825127,17.42704363,Academic year
202324,Local authority,E92000001,England,E12000008,South East,E06000041,Wokingham,872,Primary,48.40116279,11980.66279,3826682,3878418,51736,194124,153205,40919,33471,4072542,1888371,1908364,3796735,29947,124520,10029,1494,0,178,2556,583,13845,6736,1019,1948,6400,36650,2,19227,3524,15607,2561,55,14704,95.23334566,4.76665434,3.761901044,1.004753297,3.057549806,0.24625897,0.472112995,0.383225023,0.086530722,0.062884557,0.036684705,0,0.004370735,0.062761784,0.014315383,0.339959662,11.74125874,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000028,Southwark,210,Primary,52.76744186,13417.76744,4252097,4301332,49235,230002,166047,63955,99030,4531334,2039602,2122749,4162351,89746,130682,12217,1702,4,8,3227,992,17214,6154,991,3506,854,38721,0,12403,9284,38658,3610,68,20056,94.92418789,5.075812112,3.664417587,1.411394525,2.883963089,0.269611554,0.273716305,0.853126254,0.204884478,0.079667489,0.037560683,8.82742256474583e-05,0.000176548,0.071215232,0.021892008,0.37988813,15.28687711,Academic year
202324,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",810,Primary,63.18604651,17471.9593,5421226,5465710,44484,342500,209095,133405,89924,5808210,2639786,2701735,5341521,79705,174475,14650,860,0,36,2526,1209,15339,10018,9506,44,3161,31260,1,43876,10219,75630,3680,71,25432,94.10317464,5.896825356,3.599990358,2.296834997,3.00393753,0.252229172,0.755413458,1.302122341,0.175940608,0.063358591,0.014806627,0,0.000619812,0.043490163,0.020815363,0.264091691,17.59171686,Academic year
202324,Local authority,E92000001,England,E12000001,North East,E06000057,Northumberland,929,Primary,122.0960452,16084.50282,5127503,5172809,45306,304308,200647,103661,55267,5477117,2520739,2557238,5077977,49526,164852,13695,408,1,341,3423,2102,15824,5506,4375,10,1444,38342,4,51581,5741,45008,1331,127,21622,94.44401133,5.555988671,3.663368885,1.892619785,3.009831632,0.250040304,0.941754576,0.821746185,0.104817918,0.024301106,0.007449174,1.82577805075188e-05,0.006225903,0.062496383,0.038377855,0.288911119,13.85617789,Academic year
202324,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000018,Rotherham,372,Primary,90.21910112,18686.07303,6036753,6100323,63570,378353,233027,145326,78686,6478676,2958397,3006678,5965075,71678,192829,15813,2960,0,405,1319,1717,17984,9104,5424,9,3360,51094,3,69609,7008,64959,3750,96,24650,94.16002591,5.839974093,3.596830587,2.243143506,2.976364307,0.244077648,1.074432492,1.002658568,0.10817025,0.057882197,0.045688347,0,0.006251277,0.020359098,0.026502329,0.277587581,16.400822,Academic year
202324,Local authority,E92000001,England,E12000002,North West,E08000006,Salford,355,Primary,75.44186047,19181.4186,5838161,5891111,52950,382064,242501,139563,117012,6273175,2823199,2912783,5735982,102179,192730,15395,1937,9,1614,3062,1951,25803,14198,1830,29,5822,32901,0,42180,14833,76277,6273,75,21385,93.90955935,6.090440646,3.865682051,2.224758595,3.072287956,0.24541002,0.67238679,1.215923356,0.236451239,0.09999721,0.030877506,0.000143468,0.025728598,0.048811009,0.031100679,0.411322815,18.24247516,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000029,Sutton,319,Primary,39.18604651,14895.80814,4636093,4692185,56092,242026,179257,62769,66870,4934211,2264382,2310870,4575252,60841,154525,11856,1513,2,162,1904,897,8398,4446,3244,2381,6887,42376,2,20088,6029,34138,2514,41,19124,95.0949402,4.905059796,3.632941518,1.272118278,3.131706366,0.240281577,0.407116761,0.6918634,0.122187722,0.050950395,0.030663464,4.05333294421337e-05,0.0032832,0.03858773,0.018179198,0.17019945,12.26683528,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000013,Hammersmith and Fulham,205,Primary,32.68023256,7059.552326,2172527,2196119,23592,125977,91908,34069,50668,2322096,1041227,1084168,2125395,47132,72883,6919,1726,0,1,807,553,9019,3686,592,1694,2186,16025,1,4959,3536,22057,3517,36,8771,94.57485823,5.425141768,3.957975898,1.467165871,3.138672992,0.297963564,0.213557062,0.949874596,0.152276219,0.151457993,0.074329399,0,4.30645416899215e-05,0.034753085,0.023814692,0.388399102,15.49149461,Academic year
202324,Local authority,E92000001,England,E12000006,East of England,E06000033,Southend-on-Sea,882,Primary,29.75581395,12439.15698,3836071,3875857,39786,235215,171810,63405,50990,4111072,1879005,1911172,3790177,45894,141352,9025,737,0,1,3234,927,16534,2568,3925,142,9044,28027,5,23237,5096,33047,2025,33,15098,94.27849962,5.721500378,4.179201921,1.542298456,3.438324602,0.219529116,0.565229702,0.803853593,0.123957936,0.049257225,0.017927198,0,2.4324555736314e-05,0.078665613,0.022548863,0.402182205,16.71379442,Academic year
202324,Local authority,E92000001,England,E12000001,North East,E06000003,Redcar and Cleveland,807,Primary,42.75280899,9002.741573,2894155,2934083,39928,178283,109029,69254,41491,3112366,1418219,1439466,2857685,36470,91375,6848,789,1,115,2475,683,6743,981,4782,11,10287,28644,5,28267,5021,35217,749,44,12373,94.27178552,5.728214484,3.503090575,2.225123909,2.935869368,0.220025537,0.908215808,1.131518594,0.161324214,0.024065293,0.025350489,3.21298973192741e-05,0.003694938,0.079521496,0.02194472,0.216651898,14.71518987,Academic year
202324,Local authority,E92000001,England,E12000005,West Midlands,E06000019,"Herefordshire, County of",884,Primary,76.33707865,11047.03371,3596225,3636239,40014,197991,166662,31329,33827,3834230,1775876,1789726,3565602,30623,130474,12962,714,5,1068,4650,975,15814,6299,3543,108,5854,27753,0,15410,3204,11406,1309,78,13398,94.83622527,5.163774734,4.346687601,0.817087134,3.402873589,0.338060054,0.401905989,0.297478242,0.083563062,0.03413984,0.018621731,0.000130404,0.027854354,0.12127598,0.025428834,0.412442655,12.62964202,Academic year
202324,Local authority,E92000001,England,E12000002,North West,E08000009,Trafford,358,Primary,60.42134831,17873.21348,5607475,5639211,31736,279249,220420,58829,69322,5918460,2744446,2799761,5544207,63268,175440,15460,9430,1,228,4627,815,14419,8828,469,431,3073,19404,0,27869,6054,22352,2554,63,22294,95.28172869,4.718271307,3.724279627,0.99399168,2.964284628,0.2612166,0.470882628,0.377665812,0.102290123,0.043153118,0.159331988,1.68962872098485e-05,0.003852353,0.078179121,0.013770474,0.243627565,11.19374832,Academic year
202324,Local authority,E92000001,England,E12000009,South West,E06000026,Plymouth,879,Primary,68.27906977,16845.32558,5300799,5340531,39732,325064,234884,90180,55197,5665595,2610964,2644826,5255790,45009,189109,16025,581,10,347,4204,1928,22680,8325,556,81,3783,27543,0,33895,10188,39067,7030,69,20145,94.26249141,5.737508594,4.145795808,1.591712786,3.337848893,0.282847609,0.5982602,0.689548053,0.179822243,0.12408229,0.010254881,0.000176504,0.006124688,0.074202268,0.034029965,0.400311,15.57524109,Academic year
202324,Local authority,E92000001,England,E12000002,North West,E06000009,Blackpool,890,Primary,29.59883721,9232.773256,2867564,2884607,17043,187882,97532,90350,54407,3072489,1389506,1432749,2822255,45309,79321,7648,155,0,679,1008,1471,7250,780,3180,22,3125,13116,0,23565,9098,56509,1178,30,9725,93.88502286,6.114977141,3.174364497,2.940612643,2.581652855,0.248918711,0.766967758,1.839192915,0.296111719,0.038340251,0.00504477,0,0.022099347,0.032807278,0.047876494,0.235965043,20.69904277,Academic year
202324,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000035,Leeds,383,Primary,215.7740113,56312.01695,18069349,18230971,161622,1079950,667451,412499,277724,19310921,8815037,9015134,17830171,239178,536200,47029,12486,2,549,8042,3726,59417,27791,7964,221,8997,124593,20,150868,38546,211315,11770,222,71208,94.40756865,5.59243135,3.45633955,2.1360918,2.776667151,0.243535769,0.781257404,1.094277171,0.199607259,0.060949967,0.064657714,1.03568338351133e-05,0.002842951,0.041644829,0.019294781,0.307685998,15.86728697,Academic year
202324,Local authority,E92000001,England,E12000007,London,E09000017,Hillingdon,312,Primary,65.45930233,22387.25,6853843,6900643,46800,411084,296108,114976,95785,7311727,3348810,3418068,6766878,86965,242205,16375,5974,8,900,2737,987,26922,5335,727,252,2423,38790,0,30411,8820,66685,9060,67,29378,94.37774414,5.622255864,4.04976827,1.572487594,3.312555296,0.223955298,0.41592089,0.912028034,0.120628136,0.123910534,0.081704363,0.000109413,0.012308993,0.037433017,0.013498863,0.368203025,16.8001006,Academic year
202324,Local authority,E92000001,England,E12000005,West Midlands,E10000034,Worcestershire,885,Primary,172.3595506,32113.84831,10486329,10592127,105798,619721,468533,151188,124757,11211848,5159548,5215758,10375306,111023,384200,26053,4461,1,2863,6881,3195,40879,14969,7454,291,5905,84631,2,70246,13734,61703,5505,181,40458,94.47262396,5.52737604,4.178909668,1.348466372,3.42673215,0.232370257,0.626533645,0.550337464,0.122495417,0.049099845,0.039788267,8.9191362565743e-06,0.025535487,0.061372577,0.02849664,0.364605371,14.72315924,Academic year
202324,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Primary,39.95505618,11954.08989,3754229,3795498,41269,246969,151541,95428,77032,4042467,1811853,1870524,3682377,71852,122661,8613,7894,3,32,2360,638,9339,3644,15091,7,11242,26375,1,33525,5180,54771,1952,41,14367,93.89063658,6.109363416,3.748725716,2.3606377,3.034310484,0.213062964,0.829320314,1.354890467,0.128139574,0.048287345,0.195276795,7.42121085960628e-05,0.000791596,0.058380192,0.015782442,0.231022294,19.0102737,Academic year
202324,Local authority,E92000001,England,E12000009,South West,E06000059,Dorset,838,Primary,116.7674419,17467.48837,5460447,5513522,53075,332530,244159,88371,48972,5846052,2700353,2720342,5420695,39752,198207,16492,276,2,1186,3195,1482,23319,7961,3283,105,5826,39182,1,39570,9220,36401,3180,119,20172,94.31188775,5.688112251,4.176476706,1.511635545,3.39044196,0.282104915,0.676867055,0.622659532,0.157713274,0.054395684,0.004721135,3.42111223095518e-05,0.020287196,0.054652268,0.025350442,0.398884581,14.44637618,Academic year
202324,Local authority,E92000001,England,E12000004,East Midlands,E10000018,Leicestershire,855,Primary,211.7865169,44861.92697,14595234,14753408,158174,773141,600883,172258,132386,15526549,7211427,7273109,14484536,110698,491078,41438,7723,43,4674,5263,3468,47194,22918,4366,530,15628,119098,0,64395,21688,78586,7589,228,54136,95.02052259,4.97947741,3.870035769,1.109441641,3.162827747,0.266884805,0.414741228,0.506139516,0.139683326,0.048877571,0.049740609,0.000276945,0.030103277,0.033896779,0.022335936,0.30395679,11.67875472,Academic year
202324,Local authority,E92000001,England,E12000006,East of England,E10000003,Cambridgeshire,873,Primary,204.6976744,43510.75,13699558,13836817,137259,776190,623048,153142,138939,14613007,6753115,6830505,13583620,115938,483851,39018,1859,13,5160,8655,6265,78168,13691,1782,361,7919,115283,5,51375,23001,72012,6754,209,51571,94.68836222,5.311637776,4.263653607,1.047984169,3.31109812,0.2670087,0.351570351,0.492793851,0.157400869,0.046219098,0.012721543,8.89618406396439e-05,0.035311008,0.059228056,0.042872764,0.534920705,13.60826962,Academic year
202324,Local authority,E92000001,England,E12000005,West Midlands,E08000027,Dudley,332,Primary,74.1011236,21686.82584,7198101,7255575,57474,468802,314678,154124,97828,7724377,3526392,3588830,7115222,82879,257293,17620,10005,0,1465,2787,2449,23059,4574,4669,79,3669,49150,2,54592,14949,80469,4114,77,24331,93.93087624,6.069123762,4.073830161,1.995293601,3.330922351,0.228109011,0.706749554,1.041753918,0.193530171,0.053259959,0.129525009,0,0.018965931,0.03608058,0.031704822,0.298522457,17.18730502,Academic year
202324,Local authority,E92000001,England,E12000001,North East,E06000047,County Durham,840,Primary,194.9360465,30802.18605,9651447,9724017,72570,614688,438780,175908,107506,10338705,4738651,4820314,9558965,92482,362584,28777,556,1,2983,10527,3680,29672,13539,4985,47,6543,52437,4,81151,15024,68775,10958,210,38139,94.05449715,5.945502846,4.244051842,1.701451004,3.507054317,0.278342404,0.784924224,0.66521871,0.145318006,0.105990064,0.00537785,9.67239127144067e-06,0.028852743,0.101821263,0.0355944,0.286999194,17.13263184,Academic year
